,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
19,"[0.8607709577019235, 0.8085, 0.7698]","[0.7505970259490866, 0.6195, 0.7599]","[0.7771219406775082, 0.5783, 0.8049]","[0.7796541643341419, 0.7174, 0.681]","[0.7956030172639059, 0.8321, 0.6014]","[0.7084372487291658, 0.5914, 0.7351]","[0.8570222057430067, 0.8494, 0.704]","[0.8745827862758435, 0.7597, 0.7978]","[0.8508228571428571, 0.8699, 0.6663]","[0.74745054832428, 0.6363, 0.7384]","[0.8965840942244314, 0.8553, 0.8756]","[0.8792378490336848, 0.7388, 0.8716]"
20,"[0.8598780550028063, 0.773, 0.7794]","[0.7522896252892806, 0.663, 0.718]","[0.7771489545626451, 0.5903, 0.8038]","[0.7804524061288383, 0.6956, 0.7081]","[0.794653589533648, 0.7737, 0.6647]","[0.7085326464696021, 0.5968, 0.725]","[0.8586727021793763, 0.853, 0.7184]","[0.8744087824477593, 0.8052, 0.7576]","[0.8502742857142856, 0.8499, 0.6754]","[0.74623347340371, 0.625, 0.7407]","[0.8935247717326705, 0.8553, 0.8756]","[0.8823291233862303, 0.7197, 0.8667]"
21,"[0.8606093848325594, 0.8368, 0.735]","[0.7523388645428135, 0.663, 0.718]","[0.7749338159814145, 0.5903, 0.8027]","[0.7811158798283262, 0.692, 0.7139]","[0.793765134226434, 0.7737, 0.6683]","[0.7081544625700151, 0.6183, 0.6705]","[0.856829089935319, 0.8279, 0.7442]","[0.8744087824477593, 0.8052, 0.7576]","[0.8473028571428571, 0.8499, 0.6834]","[0.74623347340371, 0.625, 0.7407]","[0.900480847155438, 0.8553, 0.8744]","[0.8813791599831811, 0.7961, 0.835]"
22,"[0.8601246662244673, 0.8085, 0.759]","[0.7555825003692943, 0.663, 0.7248]","[0.7770544059646659, 0.6024, 0.7892]","[0.7812350977587029, 0.692, 0.7139]","[0.797170879570754, 0.7226, 0.6993]","[0.7073469888384643, 0.6183, 0.6616]","[0.8567672928768592, 0.8351, 0.7385]","[0.8744087824477593, 0.8052, 0.7576]","[0.8473714285714287, 0.8299, 0.712]","[0.7462847186635235, 0.625, 0.7407]","[0.9005618888108488, 0.8553, 0.8744]","[0.8827028794792331, 0.7516, 0.8496]"
23,"[0.860158681565386, 0.8085, 0.7662]","[0.758573785021419, 0.5869, 0.7961]","[0.7767302393430223, 0.6024, 0.7915]","[0.7844073313843793, 0.7717, 0.5966]","[0.7964217898019267, 0.6715, 0.7673]","[0.7076434032462489, 0.6236, 0.6616]","[0.8575268817204301, 0.8638, 0.7098]","[0.8745353306863661, 0.7597, 0.8039]","[0.8473942857142858, 0.7999, 0.7314]","[0.74623347340371, 0.625, 0.7407]","[0.9017707601707277, 0.8915, 0.8509]","[0.8832401538629249, 0.7961, 0.8325]"
24,"[0.8597079782982124, 0.8085, 0.7506]","[0.7632084297602049, 0.7608, 0.6353]","[0.7766897185153169, 0.6024, 0.7904]","[0.7860763824096535, 0.7645, 0.6137]","[0.7935996376496002, 0.7007, 0.7637]","[0.7080965425133215, 0.6236, 0.673]","[0.8573054422609483, 0.8351, 0.7385]","[0.8745511492161919, 0.7597, 0.8039]","[0.8522857142857143, 0.8599, 0.6949]","[0.7472968125448396, 0.6363, 0.7384]","[0.896969042087633, 0.8553, 0.8756]","[0.883536044103219, 0.7643, 0.8398]"
25,"[0.8601671854006157, 0.8085, 0.7518]","[0.7568381013343838, 0.6521, 0.7146]","[0.7767842671132961, 0.6626, 0.7455]","[0.7871545271713213, 0.75, 0.6381]","[0.7940090239186105, 0.7299, 0.7088]","[0.7080624718917372, 0.6236, 0.673]","[0.8575474807399167, 0.8208, 0.7572]","[0.8745669677460177, 0.7597, 0.8039]","[0.8510628571428571, 0.7999, 0.7326]","[0.7462847186635235, 0.625, 0.7407]","[0.8964827921551678, 0.8915, 0.8464]","[0.8842290501923287, 0.777, 0.8362]"
26,"[0.8592785346191132, 0.8014, 0.7626]","[0.757361268403171, 0.5978, 0.7576]","[0.7760683991571669, 0.5903, 0.8027]","[0.7883052393688708, 0.7464, 0.6495]","[0.790463913035904, 0.7299, 0.6981]","[0.7080692860160541, 0.6236, 0.673]","[0.8591542042598771, 0.8351, 0.7543]","[0.8745590584811047, 0.7597, 0.8039]","[0.8514171428571429, 0.7699, 0.7554]","[0.7481551706467152, 0.6818, 0.6809]","[0.9055729645037549, 0.8192, 0.8823]","[0.8863470013860122, 0.7898, 0.8252]"
27,"[0.8595081381703149, 0.8014, 0.7614]","[0.7573612684031711, 0.5978, 0.7576]","[0.7828083634988383, 0.6385, 0.7646]","[0.7919232443863904, 0.721, 0.711]","[0.7872323746145672, 0.7153, 0.7136]","[0.708484947599384, 0.6183, 0.6882]","[0.8579131133358053, 0.8423, 0.7428]","[0.8745669677460177, 0.7597, 0.8039]","[0.8503885714285715, 0.7899, 0.7497]","[0.74623347340371, 0.625, 0.7407]","[0.8963612296720515, 0.8553, 0.8756]","[0.8885272452618629, 0.8025, 0.8301]"
28,"[0.861931731210776, 0.8014, 0.7614]","[0.757361268403171, 0.5978, 0.7576]","[0.7799989194445944, 0.6385, 0.7713]","[0.7961269722792396, 0.7753, 0.6667]","[0.7884431127293, 0.7518, 0.6897]","[0.7085564959047113, 0.6075, 0.6907]","[0.8577174226506817, 0.8566, 0.7284]","[0.8745590584811047, 0.7597, 0.8039]","[0.8500685714285714, 0.74, 0.7611]","[0.7467843599467049, 0.6363, 0.7384]","[0.897245934410287, 0.8553, 0.8744]","[0.8885583916029465, 0.828, 0.7983]"
29,"[0.8615405547902103, 0.773, 0.7842]","[0.7569919740016742, 0.6195, 0.7554]","[0.7797017667080879, 0.5542, 0.8296]","[0.7954634985797515, 0.7681, 0.6695]","[0.7883472989216591, 0.7299, 0.7124]","[0.7085360535317606, 0.6183, 0.6869]","[0.8577380216701684, 0.8602, 0.7256]","[0.8741635952354588, 0.7987, 0.7661]","[0.8492685714285715, 0.74, 0.7589]","[0.7474377370093267, 0.6363, 0.7384]","[0.8968677400183694, 0.8553, 0.8756]","[0.8886206842851135, 0.777, 0.8508]"
30,"[0.8618722043641683, 0.773, 0.7746]","[0.7569919740016742, 0.6195, 0.7554]","[0.7783105516235346, 0.6506, 0.7713]","[0.7953909311438703, 0.7753, 0.6652]","[0.7884256920370014, 0.7299, 0.7112]","[0.7085019829101762, 0.6183, 0.6857]","[0.8565432785399415, 0.8709, 0.7169]","[0.8742585064144138, 0.7532, 0.8039]","[0.8535200000000001, 0.8399, 0.7086]","[0.7473096238597929, 0.6363, 0.7384]","[0.896969042087633, 0.8553, 0.8756]","[0.8888698550137822, 0.8025, 0.8252]"
31,"[0.8628161300746637, 0.8156, 0.7614]","[0.756979664188291, 0.6195, 0.7554]","[0.7782024960829866, 0.5783, 0.815]","[0.7963187576454978, 0.7645, 0.681]","[0.7890702576520392, 0.7445, 0.6897]","[0.7084781334750672, 0.6129, 0.6907]","[0.8569192106455734, 0.8709, 0.7256]","[0.8742585064144138, 0.7532, 0.8039]","[0.8525028571428571, 0.8299, 0.7371]","[0.7468868504663319, 0.6363, 0.7384]","[0.896969042087633, 0.8553, 0.8756]","[0.8891968915951599, 0.8152, 0.8203]"
32,"[0.863377383199823, 0.8226, 0.7578]","[0.7571273819488896, 0.6195, 0.752]","[0.7815792317251067, 0.6385, 0.7825]","[0.7963861416931018, 0.75, 0.6867]","[0.7878420988450081, 0.7591, 0.6539]","[0.7086655218937814, 0.6129, 0.692]","[0.8565947760886581, 0.8243, 0.7644]","[0.8743296897986301, 0.7597, 0.8002]","[0.8556685714285713, 0.71, 0.8011]","[0.7462590960336168, 0.625, 0.7407]","[0.8960573234642606, 0.8553, 0.8756]","[0.8906062635291919, 0.8089, 0.8264]"
33,"[0.8634794292225794, 0.8226, 0.7494]","[0.7571273819488896, 0.6195, 0.752]","[0.781363120644011, 0.6506, 0.7814]","[0.7965312765648651, 0.7464, 0.691]","[0.7907774854972737, 0.7664, 0.6647]","[0.7086655218937814, 0.6129, 0.692]","[0.8548696082066494, 0.81, 0.7802]","[0.8743217805337172, 0.7597, 0.8002]","[0.8556342857142857, 0.71, 0.8011]","[0.7462847186635235, 0.625, 0.7407]","[0.9020138851369605, 0.8192, 0.8823]","[0.8906607696260881, 0.7834, 0.857]"
34,"[0.8641512322057248, 0.8226, 0.7494]","[0.7583091240336796, 0.6195, 0.7531]","[0.782686801015722, 0.6506, 0.787]","[0.7951213949534532, 0.7464, 0.7039]","[0.7906990923819313, 0.7883, 0.6325]","[0.7086655218937814, 0.6129, 0.692]","[0.8545245746302477, 0.7706, 0.7873]","[0.8743138712688043, 0.7597, 0.8002]","[0.8565371428571429, 0.69, 0.8069]","[0.74623347340371, 0.625, 0.7407]","[0.896969042087633, 0.8553, 0.8756]","[0.8911279647423418, 0.7898, 0.8325]"
35,"[0.8632583295066074, 0.8297, 0.7482]","[0.7594662464917032, 0.6087, 0.7576]","[0.7880490572154087, 0.6024, 0.8094]","[0.7951317617300077, 0.7246, 0.7139]","[0.7893576990749612, 0.7737, 0.6671]","[0.7087098137018412, 0.6236, 0.6768]","[0.8551528447245912, 0.7634, 0.7888]","[0.8743217805337171, 0.7597, 0.8002]","[0.8620685714285715, 0.69, 0.8183]","[0.747796453828021, 0.6818, 0.6843]","[0.896969042087633, 0.8553, 0.8756]","[0.8923426720446016, 0.8025, 0.824]"
36,"[0.8631562834838513, 0.8226, 0.753]","[0.7665320793736767, 0.6087, 0.752]","[0.7877924253066076, 0.6024, 0.8128]","[0.7958004188177729, 0.7536, 0.6996]","[0.7893576990749612, 0.7737, 0.6671]","[0.7087029995775243, 0.6236, 0.6768]","[0.8555287768302229, 0.8279, 0.7629]","[0.8743217805337171, 0.7597, 0.8002]","[0.8630514285714286, 0.7, 0.8091]","[0.7493722455672851, 0.6818, 0.6945]","[0.896969042087633, 0.8553, 0.8756]","[0.8920545683895784, 0.8025, 0.8264]"
37,"[0.8631732911543106, 0.8226, 0.7542]","[0.7665443891870599, 0.6087, 0.752]","[0.7874277378572586, 0.5783, 0.8341]","[0.7957123012170597, 0.7536, 0.6981]","[0.7890789679981882, 0.7737, 0.6754]","[0.7087029995775243, 0.6236, 0.6768]","[0.8546327194825527, 0.8351, 0.7428]","[0.8743138712688043, 0.7597, 0.8002]","[0.8646971428571429, 0.68, 0.8069]","[0.7473224351747464, 0.6363, 0.7384]","[0.900453833270301, 0.8192, 0.8812]","[0.8947565134785791, 0.8216, 0.813]"
38,"[0.863054237461095, 0.8226, 0.753]","[0.7662489536658623, 0.6195, 0.752]","[0.7891701334485927, 0.5783, 0.8386]","[0.7979411581762766, 0.7427, 0.6981]","[0.7878159678065606, 0.7737, 0.6683]","[0.7087029995775243, 0.6236, 0.6768]","[0.8546430189922961, 0.8387, 0.7356]","[0.8743296897986301, 0.7597, 0.8002]","[0.865142857142857, 0.68, 0.824]","[0.74623347340371, 0.625, 0.7407]","[0.9035874439461884, 0.8192, 0.8823]","[0.8957843427343373, 0.7961, 0.8545]"
