,Diag: Autism Spectrum Disorder,Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type,Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
14,"0.7452,0.8545","0.8553,0.8744","0.7792,0.7747","0.8599,0.672","0.7872,0.7818","0.8602,0.7227","0.7138,0.6838","0.6867,0.7399","0.7372,0.7064","0.7173,0.6886","0.625,0.7407","0.629,0.6781"
13,"0.7452,0.8521","0.8553,0.8756","0.7792,0.7747","0.8599,0.7051","0.7801,0.7878","0.8745,0.704","0.6993,0.6896","0.5422,0.815","0.7591,0.6945","0.6847,0.6931","0.625,0.7407","0.6559,0.6641"
12,"0.7388,0.8411","0.8915,0.8386","0.7857,0.7674","0.8399,0.7257","0.773,0.7746","0.8853,0.6896","0.634,0.7411","0.6867,0.7265","0.7299,0.6885","0.6847,0.6931","0.6818,0.69","0.6559,0.6641"
11,"0.8025,0.8056","0.8553,0.8756","0.7987,0.7527","0.8299,0.736","0.7092,0.8153","0.8064,0.7715","0.6377,0.7339","0.5662,0.7937","0.7299,0.6921","0.6956,0.6987","0.6363,0.7373","0.672,0.621"
10,"0.7961,0.8093","0.8553,0.8756","0.7987,0.7515","0.8499,0.728","0.7659,0.789","0.853,0.7299","0.6884,0.7053","0.6747,0.7343","0.7299,0.6802","0.663,0.7044","0.625,0.7407","0.7043,0.5703"
9,"0.7133,0.868","0.8553,0.8756","0.7922,0.7576","0.8499,0.7303","0.7872,0.759","0.8459,0.7083","0.6993,0.6838","0.6626,0.7276","0.6642,0.7148","0.663,0.7055","0.6363,0.7384","0.543,0.7731"
8,"0.8344,0.7628","0.8915,0.8464","0.7662,0.7783","0.8399,0.7486","0.7659,0.7842","0.8423,0.7126","0.7355,0.5694","0.6747,0.7208","0.6642,0.7124","0.6739,0.6795","0.625,0.7407","0.543,0.7731"
7,"0.8089,0.7836","0.8915,0.8464","0.7727,0.7564","0.8299,0.7394","0.7943,0.765","0.8423,0.7011","0.7029,0.5894","0.6747,0.7186","0.6569,0.7375","0.7065,0.6591","0.6591,0.7339","0.543,0.7731"
6,"0.7834,0.7971","0.8915,0.8464","0.7727,0.76","0.7999,0.7531","0.7446,0.7866","0.8243,0.7098","0.7826,0.5222","0.6987,0.7096","0.6058,0.7566","0.6956,0.6353","0.6363,0.7384","0.5323,0.7769"
5,"0.7898,0.7934","0.8915,0.8543","0.7013,0.8246","0.7799,0.7737","0.8156,0.7434","0.8279,0.6853","0.8406,0.4907","0.7228,0.6715","0.708,0.6778","0.6956,0.6421","0.6363,0.7384","0.5806,0.7237"
4,"0.7898,0.7873","0.8915,0.8543","0.7208,0.8222","0.7999,0.7337","0.8723,0.6882","0.8566,0.6954","0.7282,0.5751","0.7228,0.6637","0.635,0.7434","0.6521,0.7101","0.6363,0.7384","0.5806,0.7136"
3,"0.7834,0.7787","0.8915,0.8543","0.8311,0.7223","0.8799,0.632","0.6879,0.7926","0.8243,0.7011","0.7681,0.5236","0.6747,0.7175","0.6204,0.747","0.7499,0.564","0.625,0.7407","0.4624,0.8314"
2,"0.8407,0.6907","0.8553,0.8756","0.8571,0.6748","0.8799,0.6126","0.9574,0.4664","0.7598,0.7486","0.5833,0.5923","0.6747,0.6614","0.5693,0.7339","0.7282,0.6138","0.5682,0.8061","0.3334,0.9239"
1,"0.6369,0.7983","0.6867,0.9361","0.8571,0.6309","0.38,0.8686","0.9928,0.0144","0.7132,0.7141","0.6123,0.5651","0.6385,0.7152","0.7372,0.5465","0.6195,0.6772","0.0001,1.0","0.199,0.967"
