,Diag: Oppositional Defiant Disorder,Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: No Diagnosis Given,Diag: Specific Phobia,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics
20,"0.8156,0.729","0.8152,0.7127","0.8279,0.6825","0.7727,0.6955","0.7,0.7771","0.6024,0.8845","0.6144,0.7713","0.7717,0.6036","0.7138,0.6266","0.5693,0.6002","0.5753,0.5323","0.5227,0.5547"
19,"0.8156,0.729","0.8152,0.7127","0.8243,0.6911","0.7792,0.6906","0.71,0.7771","0.6024,0.8845","0.6385,0.7657","0.7717,0.6036","0.7174,0.6309","0.5912,0.574","0.457,0.6616","0.5454,0.487"
18,"0.8156,0.729","0.8089,0.7127","0.8315,0.6796","0.7857,0.6772","0.75,0.744","0.6024,0.8845","0.6385,0.7511","0.7608,0.6048","0.7174,0.6323","0.6423,0.5382","0.4946,0.6147","0.5454,0.4859"
17,"0.8156,0.729","0.8089,0.7127","0.8172,0.7026","0.7662,0.7089","0.75,0.7383","0.6144,0.8845","0.6265,0.7466","0.7608,0.6138","0.6522,0.681","0.562,0.6181","0.5269,0.5982","0.5227,0.54"
16,"0.8156,0.729","0.8025,0.7213","0.8208,0.704","0.7402,0.7418","0.74,0.7486","0.6987,0.7455","0.6265,0.7388","0.7608,0.6149","0.663,0.6781","0.5693,0.6002","0.5376,0.5551","0.4773,0.6471"
15,"0.8156,0.729","0.8025,0.7213","0.8064,0.7011","0.7402,0.7466","0.73,0.7543","0.6385,0.8666","0.6265,0.7421","0.7608,0.6149","0.663,0.6867","0.5693,0.6169","0.543,0.545","0.4432,0.6674"
14,"0.8156,0.729","0.8025,0.7188","0.8064,0.7069","0.7078,0.7698","0.71,0.7771","0.6506,0.8621","0.6265,0.7399","0.7608,0.6149","0.7355,0.6094","0.5912,0.599","0.5215,0.5729","0.4318,0.6753"
13,"0.8156,0.729","0.8025,0.7188","0.7921,0.7256","0.7013,0.7747","0.7699,0.7097","0.6265,0.8789","0.6265,0.7354","0.7608,0.6149","0.7536,0.608","0.5693,0.6038","0.5484,0.5374","0.5227,0.5784"
12,"0.8156,0.729","0.8216,0.6895","0.8208,0.7126","0.7337,0.7552","0.68,0.7634","0.6265,0.8789","0.6265,0.7332","0.7608,0.6274","0.6775,0.6609","0.6569,0.5573","0.5215,0.5551","0.6363,0.513"
11,"0.8156,0.729","0.8216,0.6907","0.8351,0.6911","0.7143,0.771","0.69,0.7577","0.6265,0.8834","0.6265,0.7309","0.7608,0.6308","0.7101,0.628","0.5547,0.6193","0.5215,0.5526","0.5909,0.5287"
