,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
36,"[0.8326487745973433, 0.8156, 0.729]","[0.741376975725048, 0.7173, 0.6535]","[0.7660800151277756, 0.6626, 0.7074]","[0.7376117020173748, 0.7572, 0.5966]","[0.6321228855634723, 0.6058, 0.5549]","[0.592811780258119, 0.5108, 0.6286]","[0.8184093437152391, 0.8279, 0.6868]","[0.8159395415790057, 0.6883, 0.8356]","[0.8011885714285714, 0.67, 0.784]","[0.5279094496259096, 0.5114, 0.5344]","[0.7814711761845589, 0.5542, 0.9013]","[0.8202778253624654, 0.8152, 0.7127]"
37,"[0.8326487745973433, 0.8156, 0.729]","[0.7417031857797036, 0.7282, 0.6308]","[0.7672213517748123, 0.6626, 0.713]","[0.737575418299434, 0.7572, 0.5966]","[0.6323188683518283, 0.5912, 0.5776]","[0.5933023972089346, 0.5108, 0.6299]","[0.8183449717793433, 0.8279, 0.6753]","[0.8159553601088316, 0.6883, 0.8429]","[0.8013771428571428, 0.71, 0.7646]","[0.524418366301117, 0.5114, 0.5197]","[0.7814239018855693, 0.5903, 0.8789]","[0.8202778253624656, 0.8152, 0.7127]"
38,"[0.8326487745973433, 0.8156, 0.729]","[0.7415616229257964, 0.7173, 0.6523]","[0.7659584526446592, 0.6506, 0.7287]","[0.7375909684642659, 0.7536, 0.5966]","[0.6308468198526209, 0.6058, 0.5692]","[0.5912649740381863, 0.5054, 0.635]","[0.8195757631936719, 0.8315, 0.6695]","[0.8161214546720028, 0.6948, 0.8404]","[0.7997371428571428, 0.71, 0.7623]","[0.5236112534590549, 0.4773, 0.5513]","[0.7825922524177427, 0.6144, 0.8688]","[0.8202778253624654, 0.8152, 0.7127]"
39,"[0.8326487745973433, 0.8156, 0.729]","[0.741376975725048, 0.7173, 0.6489]","[0.7668364039116105, 0.6506, 0.7265]","[0.7375857850759885, 0.7536, 0.5966]","[0.6307510060449802, 0.5912, 0.5811]","[0.5905358627362798, 0.5108, 0.6109]","[0.8198126519177686, 0.8315, 0.6695]","[0.8168965626334689, 0.7013, 0.8368]","[0.7987142857142857, 0.71, 0.7623]","[0.5304973352464897, 0.4546, 0.575]","[0.7793776000864444, 0.6506, 0.8285]","[0.8202778253624654, 0.8152, 0.7127]"
40,"[0.8326487745973433, 0.8156, 0.729]","[0.7414631444187306, 0.7173, 0.6523]","[0.7667688691987682, 0.6506, 0.7265]","[0.7375806016877112, 0.7536, 0.5966]","[0.6320183614096824, 0.5766, 0.5871]","[0.5888357387192171, 0.5161, 0.616]","[0.8199980430931488, 0.8315, 0.6695]","[0.8168095607194268, 0.7078, 0.8356]","[0.7964, 0.72, 0.7589]","[0.5305229578763965, 0.4546, 0.575]","[0.7795666972824031, 0.6506, 0.8285]","[0.8202778253624654, 0.8152, 0.7127]"
41,"[0.8326487745973433, 0.8156, 0.729]","[0.7412846521246738, 0.7282, 0.6251]","[0.7656342860230159, 0.6506, 0.7298]","[0.7376739026767019, 0.7536, 0.5966]","[0.6331811926205948, 0.5401, 0.6205]","[0.5892207367431213, 0.4839, 0.6502]","[0.8198770238536646, 0.81, 0.6983]","[0.8177903095686287, 0.7143, 0.8283]","[0.7945885714285713, 0.69, 0.7657]","[0.5307215332581736, 0.4546, 0.5829]","[0.7795802042249718, 0.6506, 0.8285]","[0.8202778253624654, 0.8152, 0.7127]"
42,"[0.8326487745973433, 0.8156, 0.729]","[0.7413154266581319, 0.7282, 0.6319]","[0.766822896969042, 0.6506, 0.7309]","[0.7376739026767017, 0.7536, 0.5966]","[0.6313345992369737, 0.5255, 0.6241]","[0.5884916254412147, 0.4839, 0.6489]","[0.8199207967700739, 0.81, 0.6968]","[0.8169479728554028, 0.7013, 0.8368]","[0.7949999999999999, 0.68, 0.7783]","[0.539676642410577, 0.5454, 0.5287]","[0.7784726349343563, 0.6024, 0.8733]","[0.8202778253624654, 0.8152, 0.7127]"
43,"[0.8326487745973433, 0.8156, 0.729]","[0.7412784972179821, 0.7282, 0.6251]","[0.7660530012426388, 0.6506, 0.7433]","[0.7376531691235927, 0.7572, 0.5966]","[0.6327108339285403, 0.5839, 0.6098]","[0.5887778186625237, 0.4839, 0.6515]","[0.8192822271659869, 0.8136, 0.6954]","[0.8171377952133128, 0.7078, 0.8295]","[0.7948000000000001, 0.68, 0.7863]","[0.5409257456185302, 0.5, 0.5705]","[0.7759670970879032, 0.6506, 0.8285]","[0.8202778253624654, 0.8152, 0.7127]"
44,"[0.8326487745973433, 0.8156, 0.729]","[0.7415000738588803, 0.7173, 0.6535]","[0.7666202928305148, 0.6506, 0.7444]","[0.7376739026767016, 0.7536, 0.5966]","[0.6344920997160427, 0.6423, 0.5597]","[0.589227550867438, 0.4839, 0.6451]","[0.8196736085362337, 0.8136, 0.6968]","[0.8174858028694814, 0.7143, 0.827]","[0.7956628571428571, 0.68, 0.7863]","[0.5301642410577022, 0.5341, 0.5321]","[0.7754403263277324, 0.6506, 0.8374]","[0.8202778253624654, 0.8152, 0.7127]"
45,"[0.8326487745973433, 0.8156, 0.729]","[0.7414385247919641, 0.7173, 0.6478]","[0.7670795288778433, 0.6506, 0.7444]","[0.7376894528415335, 0.7536, 0.5966]","[0.6308381095064718, 0.6058, 0.5835]","[0.5892071084944874, 0.4731, 0.6591]","[0.8191689325588102, 0.8172, 0.6882]","[0.8181620450195359, 0.7078, 0.8343]","[0.7984399999999999, 0.7, 0.7657]","[0.5317015988521061, 0.5227, 0.5468]","[0.7754673402128694, 0.6506, 0.8397]","[0.8202778253624654, 0.8152, 0.7127]"
46,"[0.8326487745973433, 0.8156, 0.729]","[0.7414877640454971, 0.7173, 0.6489]","[0.7679574801447944, 0.6506, 0.7433]","[0.7376842694532563, 0.7536, 0.5966]","[0.6276239917774333, 0.5985, 0.5883]","[0.5908254630197474, 0.5, 0.6198]","[0.8188522226342027, 0.8243, 0.6796]","[0.8188817881266116, 0.7078, 0.8368]","[0.8013199999999999, 0.69, 0.7851]","[0.5301001844829354, 0.5114, 0.5547]","[0.7754133124425956, 0.6385, 0.8408]","[0.8202778253624654, 0.8152, 0.7127]"
47,"[0.8326487745973433, 0.8156, 0.729]","[0.7411615539908415, 0.7282, 0.6251]","[0.7680385218002054, 0.6867, 0.7265]","[0.738114490680268, 0.7572, 0.5966]","[0.6293747713534136, 0.6058, 0.5943]","[0.5904643144309525, 0.5, 0.6198]","[0.8185483870967742, 0.8243, 0.6825]","[0.816141227834285, 0.7078, 0.8368]","[0.8014285714285714, 0.69, 0.7851]","[0.5297799016091012, 0.5114, 0.5547]","[0.7742314549678535, 0.6385, 0.8341]","[0.8202778253624654, 0.8152, 0.7127]"
48,"[0.8326487745973433, 0.8156, 0.729]","[0.7414877640454971, 0.7173, 0.6489]","[0.7693892160570533, 0.6867, 0.7332]","[0.7381041239037134, 0.7572, 0.5966]","[0.6296622127763358, 0.6058, 0.5955]","[0.5905358627362798, 0.5108, 0.6109]","[0.8174257405347505, 0.8243, 0.6853]","[0.8166276476264296, 0.7013, 0.838]","[0.7997599999999999, 0.69, 0.7863]","[0.5304653069591062, 0.5, 0.5761]","[0.7758928089037764, 0.6385, 0.8386]","[0.8202778253624654, 0.8152, 0.7127]"
49,"[0.8326487745973433, 0.8156, 0.729]","[0.7408845831897188, 0.7282, 0.6251]","[0.7683356745367118, 0.6867, 0.7332]","[0.7381093072919905, 0.7572, 0.5966]","[0.6311908785255126, 0.6715, 0.5489]","[0.5905494909849135, 0.457, 0.6667]","[0.8174025666378281, 0.8208, 0.6839]","[0.8164299160036066, 0.7143, 0.8343]","[0.7995257142857143, 0.66, 0.7886]","[0.5256098185917802, 0.4432, 0.6054]","[0.775906315846345, 0.6385, 0.8397]","[0.8202778253624654, 0.8152, 0.7127]"
50,"[0.8326487745973433, 0.8156, 0.729]","[0.7411123147373087, 0.7282, 0.6251]","[0.7682884002377222, 0.6747, 0.7332]","[0.7381041239037134, 0.7572, 0.5966]","[0.6316176854868214, 0.6715, 0.5442]","[0.5918918734753397, 0.4892, 0.654]","[0.8175622090388498, 0.8136, 0.6896]","[0.8154808042140563, 0.7143, 0.8356]","[0.7992514285714286, 0.66, 0.7874]","[0.5274290253151583, 0.4773, 0.5772]","[0.7758657950186396, 0.6385, 0.8397]","[0.8202700387771946, 0.8152, 0.7127]"
