,Amount missing,Persentage missing
"SympChck,CSC_46P",7,0.49435028248587576
"SympChck,CSC_48P",7,0.49435028248587576
"CCSC,CCSC_45",7,0.49435028248587576
"ESWAN,DMDD_9A",7,0.49435028248587576
"ESWAN,DMDD_9B",7,0.49435028248587576
"ESWAN,DMDD_9C",7,0.49435028248587576
"SympChck,CSC_23P",7,0.49435028248587576
"SympChck,CSC_36P",7,0.49435028248587576
"SympChck,CSC_20C",7,0.49435028248587576
"CBCL,CBCL_85",7,0.49435028248587576
"SympChck,CSC_55aP",7,0.49435028248587576
"ESWAN,DMDD_5C",7,0.49435028248587576
"SDQ,SDQ_16",6,0.423728813559322
"ESWAN,DMDD_5A",6,0.423728813559322
"CBCL,CBCL_79",6,0.423728813559322
"SDQ,SDQ_14",6,0.423728813559322
"SDQ,SDQ_25",6,0.423728813559322
"CBCL,CBCL_86",6,0.423728813559322
"SympChck,CSC_29P",6,0.423728813559322
"SDQ,SDQ_04",6,0.423728813559322
"SWAN,SWAN_18",6,0.423728813559322
"CBCL,CBCL_65",6,0.423728813559322
"C3SR,C3SR_36",6,0.423728813559322
"ESWAN,DMDD_6B",6,0.423728813559322
"RBS,RBS_24",6,0.423728813559322
"ESWAN,DMDD_7B",6,0.423728813559322
"CBCL,CBCL_112",6,0.423728813559322
"APQ_SR,APQ_SR_32",6,0.423728813559322
"APQ_SR,APQ_SR_23",6,0.423728813559322
"APQ_SR,APQ_SR_18",6,0.423728813559322
"ESWAN,MDD_8B",6,0.423728813559322
"SympChck,CSC_20P",6,0.423728813559322
"APQ_SR,APQ_SR_17",6,0.423728813559322
"APQ_SR,APQ_SR_12",6,0.423728813559322
"SympChck,CSC_19P",6,0.423728813559322
"SympChck,CSC_18P",6,0.423728813559322
"SympChck,CSC_16P",6,0.423728813559322
"C3SR,C3SR_19",6,0.423728813559322
"PCIAT,PCIAT_16",6,0.423728813559322
"SympChck,CSC_55aC",6,0.423728813559322
"CCSC,CCSC_24",6,0.423728813559322
"SympChck,CSC_35P",6,0.423728813559322
"SympChck,CSC_41P",6,0.423728813559322
"SympChck,CSC_37C",6,0.423728813559322
"SympChck,CSC_54C",6,0.423728813559322
"SympChck,CSC_53P",6,0.423728813559322
"SympChck,CSC_45C",6,0.423728813559322
"SympChck,CSC_42P",6,0.423728813559322
"SympChck,CSC_55gP",6,0.423728813559322
"WIAT,WIAT_Num_Stnd",6,0.423728813559322
"CCSC,CCSC_41",6,0.423728813559322
"APQ_SR,APQ_SR_19",5,0.3531073446327684
"APQ_SR,APQ_SR_20",5,0.3531073446327684
"APQ_SR,APQ_SR_28",5,0.3531073446327684
