,Diag: Oppositional Defiant Disorder,Diag: Generalized Anxiety Disorder,Diag: ADHD-Combined Type,Diag: Autism Spectrum Disorder,Diag: Social Anxiety (Social Phobia),Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Specific Phobia,Diag: Language Disorder,Diag: Enuresis,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics
10,"0.8297,0.6727","0.8441,0.6553","0.6953,0.7816","0.6815,0.7848","0.73,0.6891","0.6626,0.7836","0.587,0.7496","0.6087,0.6342","0.6569,0.5239","0.5662,0.6379","0.4624,0.6147","0.5909,0.5175"
9,"0.8297,0.6727","0.8506,0.6443","0.7132,0.7543","0.5923,0.835","0.7599,0.6069","0.6626,0.7836","0.587,0.7496","0.6087,0.6421","0.5547,0.6683","0.5542,0.6581","0.5,0.583","0.5909,0.5175"
8,"0.7872,0.7206","0.8506,0.6443","0.724,0.7486","0.7452,0.6956","0.64,0.7154","0.6506,0.7937","0.5797,0.7525","0.6087,0.6421","0.438,0.7601","0.6506,0.5314","0.4677,0.6426","0.5909,0.5175"
7,"0.7376,0.7422","0.8506,0.6382","0.7527,0.7399","0.6115,0.8044","0.6,0.7623","0.6265,0.7937","0.5978,0.7368","0.6087,0.6421","0.4672,0.7243","0.5783,0.6323","0.5753,0.5184","0.5341,0.5648"
6,"0.8014,0.6846","0.8441,0.6602","0.7563,0.7313","0.6624,0.7457","0.69,0.6434","0.6506,0.7904","0.5471,0.7654","0.5652,0.658","0.4672,0.7231","0.6506,0.5684","0.5,0.5703","0.5341,0.5648"
5,"0.6454,0.8177","0.8506,0.637","0.7276,0.7543","0.5796,0.8508","0.71,0.5909","0.6626,0.7612","0.5072,0.7668","0.5652,0.6704","0.6131,0.5811","0.5783,0.6424","0.5054,0.564","0.5341,0.566"
4,"0.7517,0.7386","0.8506,0.6565","0.7563,0.7428","0.5923,0.8142","0.53,0.8069","0.6626,0.7601","0.4493,0.8126","0.6087,0.6014","0.5255,0.6599","0.6506,0.5482","0.6075,0.4842","0.5341,0.566"
3,"0.8085,0.6715","0.8441,0.6711","0.7813,0.7126","0.5732,0.8142","0.5,0.8217","0.6506,0.7377","0.5217,0.7768","0.6413,0.5866","0.4818,0.6683","0.6626,0.5224","0.5914,0.5006","0.4432,0.6077"
2,"0.8794,0.6271","0.8571,0.6309","0.7025,0.773","0.6942,0.6394","0.6,0.7554","0.7228,0.6973","0.6014,0.5823","0.5869,0.6727","0.5912,0.4797","0.5903,0.6356","0.4839,0.6147","0.4432,0.6133"
1,"0.5745,0.8153","0.8571,0.6309","0.6702,0.8146","0.6433,0.6968","0.8499,0.4777","0.759,0.6525","0.6594,0.5994","0.5543,0.6976","0.3942,0.679","0.7831,0.3442","0.457,0.5653","0.5341,0.5648"
