,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
15,"[0.8250038267258533, 0.8297, 0.6727]","[0.6731559899551923, 0.5978, 0.6365]","[0.7712936949592091, 0.6626, 0.7836]","[0.7204054446310465, 0.6268, 0.7096]","[0.6407069316934656, 0.6277, 0.5943]","[0.5771631437643949, 0.5161, 0.5741]","[0.8205954146582624, 0.6595, 0.8003]","[0.8201789075723303, 0.8441, 0.6553]","[0.7674171428571428, 0.63, 0.7577]","[0.5792764169314338, 0.5909, 0.5175]","[0.633354043978605, 0.5783, 0.5886]","[0.8067447401616495, 0.6178, 0.8325]"
16,"[0.8250038267258533, 0.8297, 0.6727]","[0.6731559899551923, 0.5978, 0.6365]","[0.7712936949592091, 0.6626, 0.7836]","[0.7206205552445522, 0.6087, 0.721]","[0.6354328171001515, 0.6277, 0.6062]","[0.5783828720171171, 0.4785, 0.597]","[0.8208451777695381, 0.7491, 0.7299]","[0.8201868168372431, 0.8441, 0.6553]","[0.7667657142857143, 0.59, 0.8011]","[0.5792764169314338, 0.5909, 0.5175]","[0.632003349721757, 0.5783, 0.5897]","[0.805148490181116, 0.7388, 0.731]"
17,"[0.8250208343963127, 0.8297, 0.6727]","[0.6725712738194889, 0.6087, 0.5923]","[0.7712936949592091, 0.6626, 0.7836]","[0.7199233895212622, 0.5688, 0.7425]","[0.6369919690608505, 0.6058, 0.6157]","[0.5742058138108672, 0.4409, 0.6324]","[0.8192976764306019, 0.7598, 0.7011]","[0.820194726102156, 0.8441, 0.6553]","[0.7657428571428572, 0.59, 0.7989]","[0.5792764169314338, 0.5909, 0.5175]","[0.6324288184126641, 0.5783, 0.5975]","[0.8052575023749085, 0.6115, 0.8386]"
18,"[0.8250038267258533, 0.8297, 0.6727]","[0.6727497661135458, 0.6304, 0.5753]","[0.7712936949592091, 0.6626, 0.7836]","[0.7195553689535775, 0.5761, 0.7325]","[0.6335470271588592, 0.6277, 0.5847]","[0.5786792864249015, 0.5323, 0.5501]","[0.81876725167882, 0.7563, 0.7055]","[0.8201868168372431, 0.8441, 0.6553]","[0.7691714285714286, 0.63, 0.7417]","[0.5792764169314338, 0.5909, 0.5175]","[0.6334013182775946, 0.5903, 0.5796]","[0.8093727126905768, 0.5987, 0.8374]"
19,"[0.8250038267258533, 0.8297, 0.6727]","[0.67303289182136, 0.6304, 0.5753]","[0.7712936949592091, 0.6626, 0.7836]","[0.715507142709046, 0.6811, 0.6366]","[0.6345574273121614, 0.6423, 0.5597]","[0.5794049906646497, 0.4409, 0.654]","[0.8196195361100811, 0.7634, 0.7112]","[0.8202105446319818, 0.8441, 0.6553]","[0.7679142857142857, 0.63, 0.7406]","[0.5792764169314338, 0.5909, 0.5175]","[0.6303082284294128, 0.5903, 0.5628]","[0.8102993163378133, 0.6115, 0.8325]"
20,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7161369243847318, 0.5652, 0.7482]","[0.6370877828684912, 0.6423, 0.5585]","[0.5792244163702522, 0.4892, 0.5792]","[0.8189964157706093, 0.7813, 0.694]","[0.8201868168372431, 0.8441, 0.6553]","[0.7679257142857142, 0.63, 0.7406]","[0.5792764169314338, 0.5909, 0.5175]","[0.6290250688854071, 0.6024, 0.5594]","[0.8101241181692181, 0.5796, 0.8398]"
21,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732544684622581, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7169740415915076, 0.5616, 0.7525]","[0.6359205964845043, 0.6715, 0.5119]","[0.5795583084617796, 0.4892, 0.5817]","[0.8188882709183042, 0.7849, 0.6868]","[0.8201868168372431, 0.8441, 0.6553]","[0.7695657142857143, 0.65, 0.7474]","[0.5792764169314338, 0.5909, 0.5175]","[0.6267288886487654, 0.5903, 0.5504]","[0.8102642767040942, 0.5796, 0.8472]"
22,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7170699342746366, 0.5688, 0.7554]","[0.635737679215372, 0.6496, 0.5334]","[0.5795583084617796, 0.4892, 0.5919]","[0.8192899517982944, 0.7778, 0.6983]","[0.8201789075723303, 0.8441, 0.6553]","[0.7700342857142858, 0.65, 0.7474]","[0.5792764169314338, 0.5909, 0.5175]","[0.6254187152196229, 0.5903, 0.5504]","[0.8104511547505957, 0.6242, 0.8252]"
23,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732544684622581, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7194931682942505, 0.5688, 0.7611]","[0.6295968851802171, 0.6496, 0.5286]","[0.5786384016790003, 0.4946, 0.5995]","[0.820211757920323, 0.7778, 0.7011]","[0.8201789075723303, 0.8441, 0.6553]","[0.7778857142857143, 0.65, 0.7771]","[0.5792764169314338, 0.5909, 0.5175]","[0.6290250688854071, 0.5181, 0.6771]","[0.8102954230451778, 0.6178, 0.8301]"
24,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7199544898509257, 0.5942, 0.7296]","[0.6284253436231556, 0.6715, 0.5179]","[0.5786554369897925, 0.4946, 0.5932]","[0.820057265274173, 0.7706, 0.7026]","[0.8201868168372431, 0.8441, 0.6553]","[0.7781257142857142, 0.66, 0.7509]","[0.5792764169314338, 0.5909, 0.5175]","[0.6279917877789183, 0.5301, 0.6547]","[0.8126313986264464, 0.6178, 0.8264]"
