,Amount missing,Persentage missing
"SympChck,CSC_42C",10,0.3078817733990148
"SDQ,SDQ_06",10,0.3078817733990148
"SWAN,SWAN_16",9,0.2770935960591133
"CBCL,CBCL_82",9,0.2770935960591133
"SympChck,CSC_17C",9,0.2770935960591133
"CBCL,CBCL_94",9,0.2770935960591133
"SRS,SRS_63",9,0.2770935960591133
"CBCL,CBCL_10",9,0.2770935960591133
"CBCL,CBCL_98",9,0.2770935960591133
"CBCL,CBCL_79",9,0.2770935960591133
"SympChck,CSC_20C",9,0.2770935960591133
"SWAN,SWAN_15",9,0.2770935960591133
"SympChck,CSC_50C",9,0.2770935960591133
"SympChck,CSC_41C",9,0.2770935960591133
"CBCL,CBCL_46",9,0.2770935960591133
"SympChck,CSC_53C",9,0.2770935960591133
"SympChck,CSC_33C",9,0.2770935960591133
"SWAN,SWAN_11",8,0.24630541871921183
"CBCL,CBCL_65",8,0.24630541871921183
"SympChck,CSC_43C",8,0.24630541871921183
"SympChck,CSC_39C",8,0.24630541871921183
"SRS,SRS_21",8,0.24630541871921183
"SCQ,SCQ_34",8,0.24630541871921183
"SympChck,CSC_37C",8,0.24630541871921183
"CBCL,CBCL_100",8,0.24630541871921183
"CBCL,CBCL_56C",8,0.24630541871921183
"SympChck,CSC_24C",8,0.24630541871921183
"SympChck,CSC_35C",8,0.24630541871921183
"SympChck,CSC_23C",8,0.24630541871921183
"SympChck,CSC_36C",8,0.24630541871921183
"SCQ,SCQ_18",8,0.24630541871921183
"SympChck,CSC_52C",8,0.24630541871921183
"SWAN,SWAN_12",8,0.24630541871921183
"SDQ,SDQ_15",8,0.24630541871921183
"CBCL,CBCL_91",8,0.24630541871921183
"SRS,SRS_44",7,0.21551724137931033
"SympChck,CSC_55eC",7,0.21551724137931033
"SWAN,SWAN_14",7,0.21551724137931033
"CBCL,CBCL_60",7,0.21551724137931033
"CBCL,CBCL_103",7,0.21551724137931033
"SympChck,CSC_16C",7,0.21551724137931033
"SRS,SRS_51",7,0.21551724137931033
"SympChck,CSC_27C",7,0.21551724137931033
"SRS,SRS_64",7,0.21551724137931033
"SympChck,CSC_44C",7,0.21551724137931033
"SympChck,CSC_25C",7,0.21551724137931033
"CBCL,CBCL_48",7,0.21551724137931033
"CBCL,CBCL_25",7,0.21551724137931033
"SDQ,SDQ_16",7,0.21551724137931033
"CBCL,CBCL_90",6,0.18472906403940886
"SWAN,SWAN_08",6,0.18472906403940886
"CBCL,CBCL_83",6,0.18472906403940886
"CBCL,CBCL_57",6,0.18472906403940886
"CBCL,CBCL_96",6,0.18472906403940886
"SWAN,SWAN_06",6,0.18472906403940886
"CBCL,CBCL_95",6,0.18472906403940886
"CBCL,CBCL_73",6,0.18472906403940886
"SWAN,SWAN_10",6,0.18472906403940886
"SWAN,SWAN_13",6,0.18472906403940886
"CBCL,CBCL_77",6,0.18472906403940886
"CBCL,CBCL_45",6,0.18472906403940886
"CBCL,CBCL_15",6,0.18472906403940886
"CBCL,CBCL_80",6,0.18472906403940886
"CBCL,CBCL_109",6,0.18472906403940886
"CBCL,CBCL_101",6,0.18472906403940886
"CBCL,CBCL_09",6,0.18472906403940886
"SRS,SRS_54",6,0.18472906403940886
"SRS,SRS_52",6,0.18472906403940886
"SRS,SRS_48",6,0.18472906403940886
"CBCL,CBCL_49",6,0.18472906403940886
"SRS,SRS_39",6,0.18472906403940886
"SRS,SRS_37",6,0.18472906403940886
"SRS,SRS_34",6,0.18472906403940886
"SRS,SRS_28",6,0.18472906403940886
"CBCL,CBCL_44",6,0.18472906403940886
"SRS,SRS_15",6,0.18472906403940886
"SRS,SRS_23",6,0.18472906403940886
"SDQ,SDQ_17",6,0.18472906403940886
"SympChck,CSC_30C",6,0.18472906403940886
"SympChck,CSC_06C",6,0.18472906403940886
"ASSQ,ASSQ_12",6,0.18472906403940886
"SympChck,CSC_55fC",6,0.18472906403940886
"SDQ,SDQ_08",6,0.18472906403940886
"SympChck,CSC_22C",6,0.18472906403940886
"SCQ,SCQ_39",6,0.18472906403940886
"CBCL,CBCL_58",5,0.1539408866995074
"SympChck,CSC_19C",5,0.1539408866995074
"SRS,SRS_05",5,0.1539408866995074
"SympChck,CSC_18C",5,0.1539408866995074
"SDQ,SDQ_11",5,0.1539408866995074
"SDQ,SDQ_13",5,0.1539408866995074
"SCQ,SCQ_35",5,0.1539408866995074
"CBCL,CBCL_56G",5,0.1539408866995074
"SCQ,SCQ_32",5,0.1539408866995074
"SympChck,CSC_13C",5,0.1539408866995074
"CBCL,CBCL_56F",5,0.1539408866995074
"SRS,SRS_65",5,0.1539408866995074
"SRS,SRS_57",5,0.1539408866995074
"SCQ,SCQ_36",5,0.1539408866995074
"CBCL,CBCL_102",5,0.1539408866995074
"SCQ,SCQ_37",5,0.1539408866995074
"SRS,SRS_50",5,0.1539408866995074
"SRS,SRS_49",5,0.1539408866995074
"SympChck,CSC_34C",5,0.1539408866995074
"SRS,SRS_20",5,0.1539408866995074
"SRS,SRS_38",5,0.1539408866995074
"SRS,SRS_25",5,0.1539408866995074
"CBCL,CBCL_74",5,0.1539408866995074
"ASSQ,ASSQ_03",5,0.1539408866995074
"SympChck,CSC_29C",5,0.1539408866995074
"CBCL,CBCL_56E",5,0.1539408866995074
"SympChck,CSC_10C",5,0.1539408866995074
"CBCL,CBCL_104",5,0.1539408866995074
"CBCL,CBCL_56A",5,0.1539408866995074
"SDQ,SDQ_21",5,0.1539408866995074
"SympChck,CSC_01C",5,0.1539408866995074
"CBCL,CBCL_28",5,0.1539408866995074
"CBCL,CBCL_16",5,0.1539408866995074
"SCQ,SCQ_15",5,0.1539408866995074
"SympChck,CSC_03C",5,0.1539408866995074
"CBCL,CBCL_32",5,0.1539408866995074
"CBCL,CBCL_33",5,0.1539408866995074
"SCQ,SCQ_08",5,0.1539408866995074
