,Diag: Autism Spectrum Disorder,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: No Diagnosis Given,Diag: Generalized Anxiety Disorder,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis
18,"0.8025,0.7922","0.58,0.792","0.6774,0.7213","0.6596,0.6751","0.7349,0.6031","0.6169,0.6577","0.5399,0.7411","0.4745,0.7112","0.6521,0.5277","0.4194,0.6578","0.3637,0.7091","0.5181,0.4776"
17,"0.8152,0.7922","0.56,0.8011","0.6989,0.7069","0.6383,0.6751","0.7349,0.6031","0.6039,0.6699","0.6775,0.5908","0.4526,0.7255","0.6521,0.5277","0.4677,0.6489","0.4318,0.5908","0.4338,0.5628"
16,"0.8216,0.7946","0.59,0.792","0.6953,0.7141","0.6028,0.6882","0.7349,0.6087","0.6039,0.6516","0.6087,0.6552","0.5766,0.679","0.6521,0.5277","0.4677,0.6565","0.3978,0.6223","0.5542,0.4563"
15,"0.7643,0.8386","0.61,0.7954","0.6989,0.704","0.6454,0.6691","0.7228,0.6031","0.5844,0.6967","0.6159,0.6481","0.5182,0.7148","0.6521,0.5277","0.586,0.5526","0.3978,0.6302","0.5542,0.4563"
14,"0.7579,0.8545","0.64,0.7623","0.7383,0.658","0.695,0.6319","0.759,0.6278","0.6493,0.6029","0.6268,0.6395","0.635,0.6229","0.6521,0.5277","0.3549,0.7313","0.3296,0.7057","0.5301,0.4809"
13,"0.8152,0.7714","0.63,0.7817","0.7132,0.6753","0.6808,0.6523","0.759,0.6435","0.6688,0.6017","0.6449,0.6323","0.5474,0.6647","0.6521,0.5277","0.4301,0.6781","0.1819,0.8072","0.5301,0.4809"
12,"0.8025,0.7848","0.61,0.7874","0.6882,0.7155","0.5603,0.7194","0.7469,0.6278","0.6428,0.6297","0.5725,0.6967","0.4745,0.722","0.6521,0.5277","0.4409,0.6768","0.2728,0.7351","0.5662,0.4271"
11,"0.828,0.7751","0.63,0.7657","0.6272,0.783","0.5674,0.7146","0.6506,0.685","0.6234,0.6248","0.5725,0.6967","0.4818,0.7124","0.6521,0.5368","0.543,0.583","0.3864,0.6234","0.506,0.4776"
10,"0.8344,0.7237","0.7699,0.6571","0.6308,0.7873","0.695,0.6271","0.6626,0.685","0.6299,0.6127","0.5833,0.6509","0.6277,0.5764","0.6521,0.5368","0.3602,0.7174","0.3523,0.6505","0.5542,0.4439"
9,"0.8089,0.7445","0.69,0.704","0.638,0.7759","0.6028,0.6799","0.7108,0.648","0.6493,0.5944","0.5688,0.6924","0.5328,0.6611","0.6413,0.5515","0.5645,0.5703","0.3637,0.6888","0.4699,0.5549"
8,"0.8089,0.7494","0.65,0.7474","0.6667,0.7169","0.695,0.6307","0.6144,0.7152","0.5909,0.6809","0.6956,0.5536","0.6131,0.648","0.6521,0.5176","0.3817,0.7262","0.2501,0.7238","0.3374,0.6525"
7,"0.8025,0.7531","0.73,0.68","0.6236,0.7873","0.5957,0.6787","0.6747,0.676","0.526,0.715","0.5109,0.7453","0.5839,0.6432","0.6521,0.5187","0.457,0.6515","0.5,0.5479","0.3374,0.667"
6,"0.8216,0.7408","0.72,0.6571","0.6344,0.7715","0.7234,0.5875","0.6747,0.6581","0.5649,0.7198","0.6775,0.5622","0.5182,0.6504","0.6521,0.5221","0.586,0.5247","0.5227,0.5006","0.4458,0.5774"
5,"0.6242,0.8741","0.7899,0.5897","0.6595,0.7629","0.5674,0.6954","0.6747,0.6581","0.5974,0.6918","0.7282,0.5265","0.5036,0.6957","0.6304,0.5719","0.4032,0.6515","0.3864,0.6437","0.4217,0.6188"
4,"0.6688,0.8472","0.73,0.6514","0.681,0.7284","0.6099,0.6427","0.6867,0.6031","0.6428,0.6468","0.5543,0.691","0.4745,0.7339","0.6413,0.5708","0.5591,0.5387","0.3069,0.6967","0.3976,0.6401"
3,"0.6433,0.8105","0.71,0.6309","0.6702,0.7126","0.6808,0.6103","0.6867,0.6121","0.6104,0.6845","0.6811,0.5465","0.4088,0.747","0.5435,0.6535","0.4624,0.6299","0.5114,0.5062","0.4097,0.6166"
2,"0.7133,0.7335","0.62,0.7029","0.6953,0.6638","0.5886,0.6523","0.506,0.7186","0.6753,0.5737","0.6449,0.5508","0.3358,0.7828","0.6195,0.5968","0.5108,0.6096","0.5682,0.4769","0.506,0.4215"
1,"0.8025,0.5501","0.74,0.5554","0.7455,0.5029","0.3475,0.711","0.7228,0.4529","0.5065,0.6955","0.7645,0.3891","0.5985,0.5978","0.6847,0.4972","0.6828,0.3714","0.3409,0.7024","0.6024,0.4361"
