,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
12,"[0.7181658928176607, 0.5603, 0.7194]","[0.605790536215471, 0.6521, 0.5277]","[0.725390350640229, 0.7469, 0.6278]","[0.6812138458667661, 0.5725, 0.6967]","[0.6491385467658485, 0.4745, 0.722]","[0.5754868691824414, 0.4409, 0.6768]","[0.7649162649857866, 0.6882, 0.7155]","[0.6893082556907162, 0.6428, 0.6297]","[0.7876742857142858, 0.61, 0.7874]","[0.49105770216254996, 0.2728, 0.7351]","[0.4857231617051164, 0.5662, 0.4271]","[0.8730280472801457, 0.8025, 0.7848]"
13,"[0.7236083473646615, 0.6808, 0.6523]","[0.6058151558422373, 0.6521, 0.5277]","[0.7232089794154195, 0.759, 0.6435]","[0.6823256826522361, 0.6449, 0.6323]","[0.651146281553229, 0.5474, 0.6647]","[0.5846689016994426, 0.4301, 0.6781]","[0.7681503110451942, 0.7132, 0.6753]","[0.6887585617792682, 0.6688, 0.6017]","[0.7869199999999998, 0.63, 0.7817]","[0.48859152403402684, 0.1819, 0.8072]","[0.4932330217731914, 0.5301, 0.4809]","[0.8747410960397427, 0.8152, 0.7714]"
14,"[0.726023436569893, 0.695, 0.6319]","[0.6058028460288543, 0.6521, 0.5277]","[0.7261062185963585, 0.759, 0.6278]","[0.6845156641993739, 0.6268, 0.6395]","[0.6538813302440639, 0.635, 0.6229]","[0.5870163675266091, 0.3549, 0.7313]","[0.7679417459728918, 0.7383, 0.658]","[0.6911155227233181, 0.6493, 0.6029]","[0.789577142857143, 0.64, 0.7623]","[0.5080262888182844, 0.3296, 0.7057]","[0.49320600788805435, 0.5301, 0.4809]","[0.8786577484310031, 0.7579, 0.8545]"
15,"[0.7308281034746671, 0.6454, 0.6691]","[0.605790536215471, 0.6521, 0.5277]","[0.7209263061213463, 0.7228, 0.6031]","[0.6866460367813232, 0.6159, 0.6481]","[0.6606013622981377, 0.5182, 0.7148]","[0.5866075200675962, 0.586, 0.5526]","[0.7680833642318625, 0.6989, 0.704]","[0.695433981365772, 0.5844, 0.6967]","[0.7925085714285713, 0.61, 0.7954]","[0.5058163369888286, 0.3978, 0.6302]","[0.4998176562753255, 0.5542, 0.4563]","[0.8800826935355769, 0.7643, 0.8386]"
16,"[0.7292378862867153, 0.6028, 0.6882]","[0.6058151558422373, 0.6521, 0.5277]","[0.7220541358258145, 0.7349, 0.6087]","[0.6859981132466672, 0.6087, 0.6552]","[0.661785969374423, 0.5766, 0.679]","[0.5900111751638797, 0.4677, 0.6565]","[0.7683717505046759, 0.6953, 0.7141]","[0.7014727051267855, 0.6039, 0.6516]","[0.7916228571428571, 0.59, 0.792]","[0.5066746950907041, 0.3978, 0.6223]","[0.49984467016046247, 0.5542, 0.4563]","[0.880109946584025, 0.8216, 0.7946]"
17,"[0.728948755888906, 0.6383, 0.6751]","[0.6058151558422373, 0.6521, 0.5277]","[0.7179007509860068, 0.7349, 0.6031]","[0.6880196346747942, 0.6775, 0.5908]","[0.6731181297144748, 0.4526, 0.7255]","[0.5889583929569211, 0.4677, 0.6489]","[0.7669813166893256, 0.6989, 0.7069]","[0.7098723444643055, 0.6039, 0.6699]","[0.7879771428571429, 0.56, 0.8011]","[0.5134646920159884, 0.4318, 0.5908]","[0.4942325355232589, 0.4338, 0.5628]","[0.8796505380530423, 0.8152, 0.7922]"
18,"[0.7316912427504805, 0.6596, 0.6751]","[0.605790536215471, 0.6521, 0.5277]","[0.7178804905721541, 0.7349, 0.6031]","[0.6917698160933838, 0.5399, 0.7411]","[0.667378011602181, 0.4745, 0.7112]","[0.5816127669433202, 0.4194, 0.6578]","[0.7657994479462777, 0.6774, 0.7213]","[0.7078080263220337, 0.6169, 0.6577]","[0.7872857142857143, 0.58, 0.792]","[0.5130419186225275, 0.3637, 0.7091]","[0.4946715111567346, 0.5181, 0.4776]","[0.8808963916963855, 0.8025, 0.7922]"
19,"[0.7331581543276018, 0.6666, 0.6619]","[0.605790536215471, 0.6521, 0.5277]","[0.7257145172618725, 0.7228, 0.63]","[0.6906450208372208, 0.6739, 0.5994]","[0.6697210947163039, 0.5839, 0.6599]","[0.578798533600447, 0.4355, 0.6413]","[0.7658869937790961, 0.6595, 0.7414]","[0.7087966844361484, 0.6039, 0.6845]","[0.7885714285714287, 0.56, 0.8103]","[0.5118248437019576, 0.4318, 0.5806]","[0.4969406775082393, 0.5181, 0.4966]","[0.8799230685375237, 0.8152, 0.7751]"
20,"[0.7391958773406807, 0.617, 0.7014]","[0.605790536215471, 0.6521, 0.5277]","[0.728483440488411, 0.7469, 0.6166]","[0.6916531898571459, 0.6268, 0.6581]","[0.6727740710415833, 0.5693, 0.6814]","[0.578505526254821, 0.4355, 0.6375]","[0.766602809706258, 0.6846, 0.7256]","[0.7082272173624184, 0.5519, 0.7211]","[0.7898057142857142, 0.73, 0.6903]","[0.5102618632776468, 0.4432, 0.566]","[0.49695418445080775, 0.5181, 0.4966]","[0.8805148490181116, 0.8152, 0.7714]"
21,"[0.7387281664030478, 0.6525, 0.6846]","[0.605790536215471, 0.6521, 0.5277]","[0.7280647252687882, 0.7349, 0.62]","[0.6918708921647904, 0.5797, 0.7081]","[0.6657012699684686, 0.5109, 0.7076]","[0.5756776646633142, 0.4032, 0.6743]","[0.7665976599513863, 0.6846, 0.7256]","[0.7072820602053245, 0.5779, 0.7016]","[0.7902514285714286, 0.59, 0.7886]","[0.5112355232141026, 0.3978, 0.646]","[0.4969406775082392, 0.5181, 0.4966]","[0.8821033124133743, 0.8025, 0.7836]"
