,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
11,"[0.706800517033182, 0.695, 0.5731]","[0.5045053916982618, 0.4131, 0.6161]","[0.7315832838078773, 0.6144, 0.7007]","[0.7395969397275611, 0.8079, 0.525]","[0.5657152065223071, 0.562, 0.5561]","[0.5605264592447224, 0.5645, 0.4981]","[0.835540003295843, 0.767, 0.7744]","[0.5908695445845262, 0.4546, 0.7016]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6182532821870441, 0.5783, 0.5594]","[0.7291747776929904, 0.7261, 0.6149]"
12,"[0.7068047689507968, 0.6879, 0.5851]","[0.49754419223004576, 0.3805, 0.6172]","[0.7320897941541953, 0.6144, 0.6939]","[0.7390967427588065, 0.7319, 0.5994]","[0.5664947825026566, 0.562, 0.531]","[0.5543460484893087, 0.5484, 0.5222]","[0.835540003295843, 0.767, 0.7744]","[0.5923327585934164, 0.4481, 0.7004]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6167202442055217, 0.5903, 0.5493]","[0.7283221466058275, 0.7197, 0.621]"
13,"[0.7068387842917155, 0.6879, 0.5779]","[0.4971379683883992, 0.3805, 0.6149]","[0.7318061483602571, 0.6144, 0.6861]","[0.7364324811843006, 0.7717, 0.5565]","[0.5622746197933906, 0.4818, 0.5847]","[0.5499100535590171, 0.5753, 0.4905]","[0.835540003295843, 0.767, 0.7744]","[0.5843009000743471, 0.513, 0.6407]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6164163379977308, 0.5662, 0.5717]","[0.7283922258732656, 0.7133, 0.6235]"
14,"[0.7062902869194007, 0.7092, 0.5635]","[0.49635629523856417, 0.4022, 0.6115]","[0.7324139607758388, 0.6024, 0.6984]","[0.7378008956894943, 0.7427, 0.5851]","[0.5583985157570163, 0.5328, 0.5549]","[0.5509730569524511, 0.5753, 0.4956]","[0.835540003295843, 0.767, 0.7744]","[0.5860013920306246, 0.5779, 0.5432]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6178210600248528, 0.5542, 0.5886]","[0.7284000124585364, 0.7133, 0.6235]"
15,"[0.7062392639080225, 0.7092, 0.5635]","[0.49531611600768133, 0.3805, 0.6104]","[0.7347304014263331, 0.6144, 0.6895]","[0.7375054425576911, 0.6993, 0.6323]","[0.5638381269271641, 0.5401, 0.5573]","[0.5521689357700642, 0.586, 0.4639]","[0.835540003295843, 0.767, 0.7744]","[0.5880498916430708, 0.5649, 0.5603]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6181587335890648, 0.6506, 0.4809]","[0.7284077990438073, 0.7133, 0.6235]"
16,"[0.7062307600727928, 0.7092, 0.5635]","[0.49529149638091485, 0.3805, 0.6104]","[0.7345548111729427, 0.6144, 0.6906]","[0.736650183491945, 0.6884, 0.6409]","[0.5626448095047296, 0.5839, 0.5286]","[0.5518214154299032, 0.5806, 0.4816]","[0.835540003295843, 0.767, 0.7744]","[0.588034073113245, 0.5649, 0.5603]","[0.5697257142857143, 0.44, 0.6606]","[0.5, 0.0001, 1.0]","[0.6190839591550057, 0.6747, 0.4697]","[0.7284077990438073, 0.7133, 0.6235]"
17,"[0.7062307600727928, 0.7092, 0.5635]","[0.49510684918016645, 0.3913, 0.6082]","[0.7349127451510076, 0.6265, 0.6872]","[0.7373551242976509, 0.7174, 0.6009]","[0.5590343710259046, 0.4745, 0.5788]","[0.5516408411355057, 0.5753, 0.4854]","[0.835540003295843, 0.767, 0.7744]","[0.5880024360535931, 0.5649, 0.5652]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6200834729050733, 0.6867, 0.4462]","[0.7284155856290782, 0.7133, 0.6235]"
18,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519781402891916, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132813, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284077990438073, 0.7133, 0.6235]"
19,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704614, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593043917565285, 0.4599, 0.5967]","[0.5519713261648745, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283922258732656, 0.7133, 0.6235]"
20,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593043917565285, 0.4599, 0.5967]","[0.5519713261648747, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884690826834553, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585364, 0.7133, 0.6235]"
21,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075028312570782, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593392331411251, 0.4599, 0.5967]","[0.5519849544135084, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884769919483683, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585364, 0.7133, 0.6235]"
22,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704615, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519576979162408, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284077990438073, 0.7133, 0.6235]"
23,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372773734734921, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519713261648747, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
24,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593043917565285, 0.4599, 0.5967]","[0.5519645120405576, 0.5806, 0.493]","[0.8355348535409713, 0.767, 0.7744]","[0.5884928104781941, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
25,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704615, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284077990438073, 0.7133, 0.6235]"
26,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075397606972278, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372773734734921, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284077990438073, 0.7133, 0.6235]"
