,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
20,"[0.6780660577920642, 0.6596, 0.6487]","[0.5456140134915555, 0.5326, 0.5198]","[0.705758009616943, 0.8192, 0.5202]","[0.5926971242561838, 0.4167, 0.7182]","[0.5675095378290334, 0.5182, 0.5692]","[0.5563051092304128, 0.6398, 0.4956]","[0.6571524945412598, 0.552, 0.6724]","[0.5771074236360473, 0.513, 0.5847]","[0.5531428571428572, 0.6, 0.4594]","[0.5520779952854362, 0.3409, 0.7012]","[0.5929817926414178, 0.5542, 0.602]","[0.8591640322053167, 0.8152, 0.7726]"
21,"[0.6803578413864653, 0.5248, 0.7146]","[0.5449061992220198, 0.5435, 0.5108]","[0.705758009616943, 0.8192, 0.5202]","[0.5926919408679066, 0.4167, 0.7182]","[0.5713551556538857, 0.5255, 0.5811]","[0.5575827575398284, 0.6505, 0.4867]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5391321615250589, 0.3296, 0.7227]","[0.5937246744826842, 0.6626, 0.4249]","[0.8600127699998442, 0.8025, 0.7873]"
22,"[0.6795287174515706, 0.539, 0.7026]","[0.5448261854350288, 0.5435, 0.5108]","[0.705758009616943, 0.8192, 0.5202]","[0.5926971242561838, 0.4167, 0.7182]","[0.5709152831733533, 0.5255, 0.5823]","[0.5557088733526854, 0.6344, 0.4804]","[0.6571421950315164, 0.552, 0.6724]","[0.5801485359950647, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5374987188685046, 0.3182, 0.7305]","[0.599012642498244, 0.6506, 0.4451]","[0.8597908523196238, 0.8025, 0.7897]"
23,"[0.6774112624793781, 0.539, 0.7038]","[0.543656753163622, 0.5435, 0.5062]","[0.7073991031390134, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5714901660191976, 0.5255, 0.58]","[0.5536714501819371, 0.5108, 0.5488]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5344240032796967, 0.2955, 0.7328]","[0.5985736668647685, 0.6506, 0.4451]","[0.8604371388971079, 0.7961, 0.7897]"
24,"[0.6789674643264112, 0.6312, 0.6331]","[0.5437736963907627, 0.5217, 0.513]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5655801961569953, 0.5255, 0.5752]","[0.5544857380378048, 0.6183, 0.4854]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.530490929589013, 0.3296, 0.6933]","[0.5983440488411043, 0.5662, 0.5796]","[0.8594326693971626, 0.777, 0.8007]"
25,"[0.6776238583601204, 0.6028, 0.6667]","[0.5421611108375597, 0.5109, 0.5142]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5652143616187307, 0.5109, 0.5823]","[0.5572182018888753, 0.586, 0.5082]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.527659628984319, 0.3409, 0.7001]","[0.5970338754119617, 0.5662, 0.5796]","[0.8602502608506066, 0.777, 0.8007]"
26,"[0.6784147150364814, 0.5745, 0.6787]","[0.543225909695209, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5678535965019249, 0.5036, 0.5823]","[0.5561381631846491, 0.586, 0.5095]","[0.6571473447863881, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5251550169109357, 0.3409, 0.6685]","[0.5971892052514992, 0.5662, 0.5796]","[0.8602074346316166, 0.7834, 0.7934]"
27,"[0.6775940949368164, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073991031390134, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.567378882636796, 0.4964, 0.5811]","[0.555204628153236, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239315363328894, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
28,"[0.6775940949368165, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5673701722906468, 0.4964, 0.5811]","[0.5552114422775528, 0.5806, 0.5095]","[0.6571473447863881, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239699702777493, 0.3409, 0.708]","[0.5971216705386568, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
29,"[0.6775940949368164, 0.5815, 0.6787]","[0.5433490078290414, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926971242561838, 0.4167, 0.7182]","[0.5673614619444977, 0.4964, 0.5811]","[0.5552046281532359, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239571589627959, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
