,Diag: Autism Spectrum Disorder,Diag: Enuresis,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Language Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Specific Learning Disorder with Impairment in Reading
13,"0.7261,0.8765","0.8553,0.8688","0.8085,0.7782","0.8387,0.7213","0.7792,0.7759","0.7999,0.7211","0.7101,0.6781","0.6987,0.7399","0.6569,0.7518","0.6413,0.7497","0.5114,0.6607","0.6774,0.5184"
12,"0.7516,0.857","0.8553,0.8699","0.8652,0.7362","0.8494,0.7328","0.8052,0.7406","0.8099,0.712","0.7572,0.6438","0.6987,0.7354","0.7007,0.6873","0.6304,0.752","0.5114,0.6618","0.5376,0.6299"
11,"0.7579,0.8386","0.8553,0.8711","0.8581,0.7398","0.8423,0.7457","0.7857,0.7479","0.7999,0.728","0.721,0.6695","0.7228,0.7231","0.7007,0.6862","0.6304,0.752","0.5114,0.6607","0.543,0.6248"
10,"0.8344,0.7751","0.8433,0.8699","0.8226,0.7626","0.8566,0.7198","0.7662,0.7747","0.7899,0.7371","0.7319,0.6638","0.6506,0.7668","0.7445,0.6814","0.6304,0.7395","0.5114,0.6607","0.5376,0.6388"
9,"0.7898,0.7861","0.8433,0.8699","0.8156,0.7554","0.8602,0.7055","0.7662,0.7588","0.7599,0.752","0.7391,0.6466","0.6867,0.7287","0.7153,0.6981","0.6304,0.7395","0.5114,0.6607","0.5269,0.6337"
8,"0.7643,0.8044","0.8553,0.8677","0.7517,0.7998","0.8136,0.7385","0.7792,0.7527","0.8099,0.7063","0.7138,0.7024","0.6747,0.7309","0.7518,0.6671","0.6304,0.7395","0.5114,0.6607","0.5914,0.5868"
7,"0.7388,0.8044","0.8553,0.8699","0.8368,0.7314","0.8172,0.7385","0.7402,0.799","0.7899,0.7246","0.6522,0.7468","0.6506,0.7612","0.7883,0.642","0.6739,0.6897","0.5114,0.6607","0.586,0.583"
6,"0.7452,0.8032","0.8553,0.8688","0.8439,0.7338","0.853,0.7184","0.7208,0.8027","0.8299,0.6869","0.6993,0.6566","0.6867,0.6962","0.7737,0.6515","0.7499,0.581","0.5114,0.6607","0.6075,0.5577"
5,"0.7834,0.7958","0.8192,0.8845","0.8581,0.7074","0.8566,0.7098","0.6883,0.8149","0.7699,0.7451","0.6956,0.5966","0.7108,0.6872","0.7664,0.6372","0.7065,0.641","0.5,0.6674","0.5215,0.6375"
4,"0.7898,0.7873","0.8192,0.8845","0.8368,0.7254","0.8638,0.6753","0.7727,0.7418","0.7699,0.7394","0.7029,0.5923","0.7469,0.6469","0.7153,0.6694","0.7391,0.6093","0.5568,0.6516","0.5376,0.5805"
3,"0.7834,0.7787","0.8553,0.8834","0.8652,0.699","0.8423,0.6839","0.7208,0.8051","0.63,0.8183","0.5833,0.5923","0.6144,0.8184","0.7518,0.6742","0.7499,0.5742","0.5568,0.6539","0.5699,0.5526"
2,"0.7707,0.7359","0.8553,0.8756","0.6879,0.7878","0.7598,0.75","0.8311,0.6931","0.68,0.8171","0.6485,0.608","0.759,0.6771","0.6861,0.6981","0.8043,0.5436","0.6022,0.6088","0.5269,0.6274"
1,"0.6369,0.7983","0.6867,0.9361","0.9645,0.4616","0.8208,0.6681","0.8571,0.6309","0.7899,0.6983","0.9239,0.2733","0.759,0.6525","0.7372,0.5465","0.6195,0.6772","0.4659,0.6866","0.2688,0.8378"
