,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Enuresis,Diag: Language Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Inattentive Type,Diag: Specific Learning Disorder with Impairment in Mathematics
11,"[0.8512188177230808, 0.7857, 0.7479]","[0.7349881825791521, 0.6304, 0.752]","[0.8928966989032363, 0.8553, 0.8711]","[0.7561538595543787, 0.7007, 0.6862]","[0.8758390045629388, 0.7579, 0.8386]","[0.7658031228051217, 0.7228, 0.7231]","[0.825577142857143, 0.7999, 0.728]","[0.8545374490174268, 0.8423, 0.7457]","[0.8674804836981478, 0.8581, 0.7398]","[0.626718862858934, 0.543, 0.6248]","[0.7758184570089778, 0.721, 0.6695]","[0.6609101158142872, 0.5114, 0.6607]"
12,"[0.8510448138949966, 0.8052, 0.7406]","[0.7350004923925353, 0.6304, 0.752]","[0.896570587281863, 0.8553, 0.8699]","[0.7553829939201784, 0.7007, 0.6873]","[0.8736431875165465, 0.7516, 0.857]","[0.7666135393592307, 0.6987, 0.7354]","[0.8250057142857142, 0.8099, 0.712]","[0.8552506900671527, 0.8494, 0.7328]","[0.8684116536557988, 0.8652, 0.7362]","[0.6271992586232744, 0.5376, 0.6299]","[0.7801258526673716, 0.7572, 0.6438]","[0.6609229271292405, 0.5114, 0.6618]"
13,"[0.8497002388598003, 0.7792, 0.7759]","[0.7346435078044217, 0.6413, 0.7497]","[0.8984142849424605, 0.8553, 0.8688]","[0.7582878943609219, 0.6569, 0.7518]","[0.8732499649603664, 0.7261, 0.8765]","[0.766478469933546, 0.6987, 0.7399]","[0.8264571428571429, 0.7999, 0.7211]","[0.8539246281876982, 0.8387, 0.7213]","[0.8666938789394018, 0.8085, 0.7782]","[0.6250732518364066, 0.6774, 0.5184]","[0.7810666376396923, 0.7101, 0.6781]","[0.6609101158142872, 0.5114, 0.6607]"
14,"[0.8508866285967382, 0.7857, 0.76]","[0.7386011128071297, 0.6413, 0.7418]","[0.8984142849424605, 0.8553, 0.8688]","[0.7579220598226573, 0.6715, 0.7339]","[0.8697187485400153, 0.6751, 0.8826]","[0.7720298233291911, 0.6867, 0.7433]","[0.8247142857142857, 0.7599, 0.7429]","[0.8543752317389692, 0.8494, 0.694]","[0.8664047485415922, 0.8085, 0.7782]","[0.6244633877100453, 0.6505, 0.5361]","[0.7822329000020735, 0.6558, 0.7339]","[0.6609101158142872, 0.5114, 0.6607]"
15,"[0.8506888969739153, 0.7208, 0.8234]","[0.740595302575213, 0.6413, 0.7463]","[0.8988330001620832, 0.8553, 0.8688]","[0.7622075501280421, 0.7153, 0.7088]","[0.8737210533692554, 0.7006, 0.8667]","[0.7737316980928197, 0.6987, 0.7511]","[0.8248742857142858, 0.7, 0.7657]","[0.8544911012235817, 0.8709, 0.671]","[0.8671871013827237, 0.8226, 0.7674]","[0.6334205541245895, 0.5376, 0.6641]","[0.7849386286827974, 0.7753, 0.671]","[0.6609101158142872, 0.5114, 0.6607]"
16,"[0.8505386209405699, 0.7272, 0.8234]","[0.7406199222019794, 0.6413, 0.7463]","[0.8939232265384407, 0.8553, 0.8666]","[0.7560406250544397, 0.7226, 0.6873]","[0.8813168673010139, 0.7898, 0.8093]","[0.7740558647144633, 0.6987, 0.7511]","[0.8289142857142856, 0.74, 0.7531]","[0.8548412845548552, 0.8387, 0.6968]","[0.8676973314965049, 0.8368, 0.7602]","[0.6302349510064461, 0.5753, 0.6312]","[0.778459393336236, 0.8007, 0.6152]","[0.6609101158142872, 0.5114, 0.6607]"
17,"[0.8520176534792857, 0.7987, 0.7625]","[0.7439251070953765, 0.6413, 0.744]","[0.8945512993678751, 0.8553, 0.8688]","[0.7569465010539518, 0.7007, 0.6862]","[0.8800554404871288, 0.7898, 0.8142]","[0.7828488843265439, 0.6987, 0.7679]","[0.8292057142857143, 0.7799, 0.72]","[0.8548464343097268, 0.8387, 0.6968]","[0.8681990577750566, 0.8226, 0.765]","[0.630241765130763, 0.5753, 0.6312]","[0.7781950405340964, 0.6485, 0.7554]","[0.6609229271292405, 0.5114, 0.6618]"
18,"[0.852674122467058, 0.7857, 0.7686]","[0.7439251070953765, 0.6413, 0.744]","[0.8974823059052354, 0.8553, 0.8643]","[0.7550476455934358, 0.6934, 0.7172]","[0.8801800258514632, 0.7516, 0.8557]","[0.7828488843265439, 0.6987, 0.7679]","[0.8332457142857143, 0.8499, 0.664]","[0.8534868990236064, 0.8602, 0.6796]","[0.8677228430021939, 0.8156, 0.7662]","[0.6245417501396896, 0.5215, 0.6515]","[0.7776430096825693, 0.7065, 0.6981]","[0.6608973044993338, 0.5114, 0.6607]"
19,"[0.8517329199424205, 0.7857, 0.7552]","[0.7439251070953765, 0.6413, 0.744]","[0.8976308822734886, 0.8553, 0.8666]","[0.7488981412121318, 0.6569, 0.7458]","[0.8791911295220595, 0.7898, 0.8362]","[0.7817143011507915, 0.6987, 0.7713]","[0.8367657142857142, 0.8399, 0.6834]","[0.8524646726815803, 0.8279, 0.7026]","[0.8673571780873174, 0.8156, 0.7674]","[0.6295467244504409, 0.5645, 0.6375]","[0.7827382803591051, 0.663, 0.7511]","[0.6609229271292405, 0.5114, 0.6618]"
20,"[0.8535204138127404, 0.7727, 0.7783]","[0.7446206115515288, 0.663, 0.7305]","[0.8948957264033713, 0.8553, 0.8643]","[0.754272424786161, 0.708, 0.6969]","[0.8785604161151168, 0.7834, 0.8411]","[0.7797422875357934, 0.7228, 0.7511]","[0.8397428571428572, 0.7899, 0.7211]","[0.8524646726815805, 0.8279, 0.7026]","[0.8673061550759392, 0.8156, 0.7674]","[0.6385652179838368, 0.5161, 0.6882]","[0.7842984802305571, 0.6775, 0.7453]","[0.6609229271292405, 0.5114, 0.6618]"
