,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Enuresis,Diag: Language Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Inattentive Type,Diag: Specific Learning Disorder with Impairment in Mathematics
41,"[0.8516221902336396, 0.7337, 0.8063]","[0.7423740706090896, 0.6195, 0.7474]","[0.8871494948403478, 0.8192, 0.8912]","[0.7686444959322684, 0.7226, 0.6921]","[0.8946552878700575, 0.8025, 0.8288]","[0.7818898914041817, 0.7349, 0.7321]","[0.8440914285714286, 0.72, 0.7749]","[0.8517282577349318, 0.8602, 0.6825]","[0.8633773831998232, 0.8156, 0.7578]","[0.6389399948212655, 0.5484, 0.6299]","[0.7927992370052455, 0.692, 0.7353]","[0.6608973044993338, 0.5114, 0.6607]"
42,"[0.8524210259898444, 0.7597, 0.7893]","[0.7423740706090896, 0.6195, 0.7474]","[0.887149494840348, 0.8192, 0.8912]","[0.7660488127798198, 0.7226, 0.6826]","[0.8942270256801581, 0.7961, 0.835]","[0.7818898914041817, 0.7349, 0.7321]","[0.8443542857142857, 0.67, 0.792]","[0.8517385572446752, 0.8602, 0.6825]","[0.8635729714101059, 0.7943, 0.7686]","[0.6363642558294834, 0.5, 0.6654]","[0.7927992370052455, 0.692, 0.7353]","[0.6609229271292405, 0.5114, 0.6618]"
43,"[0.8528797633547938, 0.7597, 0.7905]","[0.7423740706090896, 0.6195, 0.7474]","[0.8871494948403478, 0.8192, 0.8912]","[0.7630350330122119, 0.6861, 0.7064]","[0.8941102269010948, 0.8216, 0.824]","[0.7818898914041817, 0.7349, 0.7321]","[0.8432342857142856, 0.67, 0.784]","[0.8517334074898034, 0.8602, 0.6825]","[0.8632413218361481, 0.8297, 0.7386]","[0.636377884078117, 0.5, 0.6654]","[0.7927992370052456, 0.692, 0.7353]","[0.6609101158142872, 0.5114, 0.6607]"
44,"[0.8522628406915862, 0.7532, 0.7941]","[0.7423740706090896, 0.6195, 0.7474]","[0.8871630017829164, 0.8192, 0.8912]","[0.7621030259742522, 0.6642, 0.7184]","[0.894468409823556, 0.8216, 0.8227]","[0.7818088497487709, 0.7349, 0.7321]","[0.8411085714285714, 0.66, 0.7897]","[0.8517282577349318, 0.8602, 0.6825]","[0.8636410020919435, 0.8439, 0.7242]","[0.6367731032884963, 0.457, 0.6882]","[0.7937426136717048, 0.6304, 0.794]","[0.6609101158142872, 0.5114, 0.6607]"
45,"[0.8513770030213391, 0.7532, 0.799]","[0.7423617607957063, 0.6195, 0.7474]","[0.8871765087254848, 0.8192, 0.8912]","[0.7625298329355608, 0.6496, 0.747]","[0.8946163549437031, 0.828, 0.8191]","[0.7817953428062023, 0.7349, 0.7321]","[0.8400571428571428, 0.68, 0.7863]","[0.8518261030774934, 0.8638, 0.6796]","[0.8638280864669966, 0.8439, 0.7242]","[0.6365005383158211, 0.4409, 0.7021]","[0.7937374302834276, 0.6304, 0.794]","[0.6608973044993338, 0.5114, 0.6607]"
46,"[0.8518357403862886, 0.7727, 0.782]","[0.7423740706090896, 0.6195, 0.7474]","[0.8871630017829164, 0.8192, 0.8912]","[0.7609271292441161, 0.635, 0.7673]","[0.8947409403080373, 0.828, 0.8068]","[0.7813361067588741, 0.7228, 0.7321]","[0.8412114285714286, 0.71, 0.776]","[0.8518261030774934, 0.8638, 0.6796]","[0.863487933057809, 0.7801, 0.7686]","[0.6365209806887717, 0.4409, 0.7021]","[0.793809997719309, 0.6304, 0.7954]","[0.6609229271292405, 0.5114, 0.6607]"
47,"[0.8510843602195611, 0.7597, 0.7868]","[0.7423740706090896, 0.6195, 0.7474]","[0.887149494840348, 0.8192, 0.8912]","[0.7590282737836002, 0.6277, 0.7637]","[0.8959400744397552, 0.8089, 0.8203]","[0.7821600302555514, 0.7228, 0.7343]","[0.8409142857142858, 0.73, 0.7669]","[0.8518261030774934, 0.8638, 0.6796]","[0.8637940711260779, 0.7872, 0.771]","[0.6363233710835821, 0.6236, 0.5792]","[0.793809997719309, 0.6304, 0.7954]","[0.6609229271292405, 0.5114, 0.6607]"
48,"[0.8507838081528702, 0.7532, 0.7941]","[0.7423986902358559, 0.6195, 0.7474]","[0.887014425414663, 0.8553, 0.8419]","[0.7591415082835393, 0.6277, 0.7721]","[0.8984006353853581, 0.8089, 0.8276]","[0.7821600302555514, 0.7228, 0.7343]","[0.8406971428571429, 0.71, 0.7806]","[0.8518261030774934, 0.8638, 0.6796]","[0.8636580097624029, 0.7872, 0.7698]","[0.6363438134565327, 0.6236, 0.5792]","[0.793809997719309, 0.6304, 0.7954]","[0.6609229271292405, 0.5114, 0.6607]"
49,"[0.8518752867108531, 0.7727, 0.7783]","[0.7423740706090896, 0.6195, 0.7474]","[0.8870279323572317, 0.8553, 0.8419]","[0.7597163911293834, 0.7372, 0.6671]","[0.8980268792923551, 0.8089, 0.8325]","[0.7812280512183262, 0.6385, 0.8217]","[0.8394742857142857, 0.67, 0.7943]","[0.8518261030774934, 0.8638, 0.6796]","[0.8636580097624029, 0.7943, 0.7698]","[0.6387900840862941, 0.586, 0.6096]","[0.7926281851920963, 0.663, 0.7596]","[0.6609229271292405, 0.5114, 0.6618]"
50,"[0.8509736305107803, 0.7792, 0.7747]","[0.7423617607957063, 0.6195, 0.7474]","[0.8870414392998, 0.8553, 0.8419]","[0.7592286117450308, 0.6131, 0.7792]","[0.8975908305171851, 0.8089, 0.8252]","[0.7812280512183262, 0.6385, 0.8217]","[0.8412228571428572, 0.71, 0.7703]","[0.8518209533226218, 0.8638, 0.6796]","[0.8639641478306717, 0.8297, 0.7506]","[0.6393556564045955, 0.5968, 0.5982]","[0.7926333685803736, 0.663, 0.7596]","[0.6608973044993338, 0.5114, 0.6607]"
