,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Enuresis,Diag: Language Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Inattentive Type,Diag: Specific Learning Disorder with Impairment in Mathematics
1,0.7851682125457076,0.6782719323063865,0.7928122860803066,0.6832477393638107,0.736928988784872,0.7829535678137652,0.724367081602756,0.8002186565990247,0.8056020479377439,0.5581964105156724,0.5983424522180274,0.675902134269589
2,0.8177258167210312,0.7144603070384505,0.8529474802704924,0.719975150097918,0.8153006271633991,0.8051100708502024,0.7601435714215721,0.843339039901753,0.8461480186480188,0.5889761811747405,0.6258431895941481,0.6858122888008916
3,0.8451982071006123,0.7444742663603663,0.8692397019059633,0.7274215566179851,0.8614100915464927,0.8339524291497975,0.7648732815839979,0.8565063398567148,0.8634711082874743,0.6223590173729203,0.6484307898773006,0.7011290567537929
4,0.8554852237942878,0.7516319721008331,0.8848442359033033,0.7319673654718297,0.8790870361957438,0.8417010374493927,0.7788589598758043,0.8633617112519636,0.8691561230865356,0.6346447283757698,0.6659685435346862,0.7067215309743803
5,0.8525015430655973,0.7496679439433406,0.888451838731444,0.7333554676969856,0.8830006073861132,0.8491605516194332,0.7916334899777002,0.8693674951497037,0.8705462710971732,0.6521247931795202,0.6894103203161869,0.7090887254015156
6,0.8553317504466882,0.7520951079073266,0.8953842425531497,0.7364221876833483,0.8870516803659543,0.852122343117409,0.7918379636337293,0.8699151134154542,0.8728607896971299,0.6526987200110306,0.7314100843558283,0.7127850476056471
7,0.8607484430836034,0.75146251767019,0.89013610487688,0.7405885446398839,0.8879698719110405,0.8604858299595142,0.7916912823350231,0.870720361021997,0.8741708896058122,0.652037468976928,0.7527473896885324,0.7147411338251356
8,0.8629163983074323,0.7503261976006471,0.892488628640302,0.7433483406474478,0.8902419014495344,0.8604352226720646,0.7930719929776008,0.8719164143312064,0.8766014601807128,0.6545188838588107,0.7584888213780085,0.7132379098630681
9,0.8620081992402836,0.7475595097143759,0.8917487996049209,0.748109811815169,0.8927667616638407,0.8615194838056679,0.7955631974803914,0.8745478428385723,0.877699476926281,0.6584655643901093,0.7691892549551674,0.7128785949913008
10,0.8606120040548214,0.7470687807338293,0.8965730890248196,0.7508330979536336,0.8985148271721707,0.8647697368421052,0.7942627578892626,0.8759649723777194,0.8821749688598916,0.6653733684162149,0.7728310818782445,0.7121009690870392
11,0.8626010653861602,0.7466856541122466,0.8963849833264879,0.7523297634904778,0.899952441419099,0.8653593117408906,0.7934228482747423,0.8752565241317797,0.883673446398962,0.6689622782424854,0.7770400247758376,0.7121009690870392
12,0.8639487286697692,0.749253472275613,0.8978965398795203,0.75182726995227,0.9019856871200215,0.8665144230769231,0.7926520173911643,0.8760597846572626,0.8850358211376254,0.6694142671660999,0.7785731772062293,0.7121009690870392
13,0.8645865709576442,0.7498056561009437,0.8981236828658883,0.7611318270023626,0.9034328631469716,0.8678985323886639,0.7936065558782234,0.8776659375994754,0.8847447612524931,0.6764434345987683,0.7803258465077867,0.7121009690870392
14,0.8632238773927255,0.7517062612184564,0.8980757404066185,0.7610213100391672,0.9033144849175436,0.8698456477732794,0.7941862139658463,0.8777762938669552,0.8848448151218771,0.6776620955510617,0.7814670835299671,0.7121009690870392
15,0.8652785893480429,0.7506579051227407,0.8964405443828355,0.7673983754340897,0.9033183162495646,0.8703567813765181,0.7948139375690306,0.879237629118338,0.8859478858770096,0.6797818618439194,0.7846804949268524,0.7121009690870392
16,0.8672534752520846,0.7496156611956992,0.8960357747071134,0.7678496478719692,0.9037124531530705,0.8705655364372469,0.7936065165071526,0.8791324550629254,0.885502026610274,0.6790666076845298,0.7871535069608305,0.7121009690870392
17,0.8681787584143604,0.7486572475200228,0.8943321029894971,0.7667924932210646,0.90470539704764,0.8713436234817813,0.7947119774321522,0.8792004218861752,0.8865583171124408,0.6797766913319239,0.788233099339311,0.7121009690870392
18,0.867819074801241,0.7493285968510927,0.8948195098427508,0.7676294043258329,0.9050987167933984,0.8714283906882592,0.8032503334292238,0.8797497354825236,0.8889338117495335,0.6921146819560622,0.7876452630958,0.7121009690870392
19,0.8678469343853015,0.7486386983054044,0.8927528866934618,0.7683564723966508,0.9043899162320216,0.8728643724696357,0.8100159675939341,0.880814616724637,0.8883589913808987,0.6961172327419798,0.7884139039641341,0.7121009690870392
20,0.8695474878978642,0.7478659946100155,0.8929905331367717,0.7754399073149073,0.9084993094499847,0.874046052631579,0.8180201697120626,0.8801789767706605,0.8890252595342801,0.7015640798786652,0.7886865856536103,0.7121009690870392
21,0.8694266634809829,0.7461417479828563,0.89088750696767,0.783147603884211,0.9083774805392331,0.8748633603238865,0.8166888019575647,0.8803437773819505,0.8894835898637445,0.7034576362717162,0.7894636326097215,0.7121009690870392
22,0.8690863796434805,0.7456731227569495,0.8905782218750611,0.7862268361598719,0.9087725339006685,0.8754946862348177,0.8213223614033319,0.8805523582176618,0.8882075513261081,0.7074119289456752,0.7913653256252949,0.712125123676411
23,0.8686107626769439,0.7454966002503298,0.8907814394717285,0.7905837664319808,0.9095502612008536,0.8749898785425101,0.8270554411169766,0.8815335101667753,0.8887691096131818,0.7075699168122072,0.7905705816422841,0.7121009690870392
