,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
11,"[0.8363947140160213, 0.8014, 0.7218]","[0.6957260327933428, 0.6304, 0.6568]","[0.7550651034631801, 0.6144, 0.7735]","[0.7515109576828181, 0.6304, 0.7668]","[0.7017403271606013, 0.635, 0.6325]","[0.6128691551848672, 0.5538, 0.6198]","[0.826744221975034, 0.8279, 0.6796]","[0.8242798614296789, 0.7208, 0.7637]","[0.8237485714285715, 0.8299, 0.7166]","[0.550239571589628, 0.3296, 0.7396]","[0.8171295045653466, 0.7228, 0.9047]","[0.81261971874854, 0.707, 0.7604]"
12,"[0.8392732622412709, 0.7376, 0.7662]","[0.6957260327933428, 0.6304, 0.6568]","[0.7512561456588686, 0.6144, 0.7679]","[0.7458195973543986, 0.663, 0.7182]","[0.7016183823145132, 0.6204, 0.6635]","[0.6136868501028934, 0.5323, 0.6426]","[0.8267931446463147, 0.7598, 0.7428]","[0.8234177515541706, 0.7402, 0.7491]","[0.8296742857142857, 0.7599, 0.792]","[0.5530260325919852, 0.3637, 0.7362]","[0.8171295045653466, 0.7228, 0.9047]","[0.8131375266690546, 0.7006, 0.7751]"
13,"[0.839541133051006, 0.7872, 0.747]","[0.6957260327933428, 0.6304, 0.6568]","[0.751492517153817, 0.6265, 0.7679]","[0.7495127615019386, 0.721, 0.6223]","[0.6876861836489383, 0.5766, 0.6993]","[0.6136868501028933, 0.5323, 0.6426]","[0.8268163185432373, 0.7419, 0.7486]","[0.8246990524700634, 0.8052, 0.6918]","[0.8272685714285715, 0.7799, 0.7371]","[0.556472276314441, 0.3182, 0.7351]","[0.8171295045653466, 0.7228, 0.9047]","[0.8150413467677884, 0.7325, 0.7506]"
14,"[0.84038726465636, 0.7092, 0.7806]","[0.6957260327933428, 0.6304, 0.6568]","[0.7513709546707008, 0.6144, 0.7691]","[0.7502462109431692, 0.7246, 0.6309]","[0.6882088044178876, 0.4745, 0.7745]","[0.6195742535126811, 0.6828, 0.4791]","[0.8272334486878424, 0.7491, 0.7442]","[0.8251736083648384, 0.7272, 0.7442]","[0.8253028571428571, 0.8599, 0.6629]","[0.5478310443783949, 0.3523, 0.6922]","[0.8171295045653466, 0.7228, 0.9047]","[0.8154735022503231, 0.7388, 0.7408]"
15,"[0.840361753150671, 0.7092, 0.7806]","[0.6957260327933428, 0.6304, 0.6568]","[0.7532011453887298, 0.6024, 0.7724]","[0.7502513943314466, 0.7246, 0.6309]","[0.6838754072086825, 0.4453, 0.7947]","[0.6192301402346785, 0.6559, 0.512]","[0.8265459564124747, 0.7348, 0.7572]","[0.8247939636490185, 0.7272, 0.743]","[0.827422857142857, 0.75, 0.7303]","[0.546312903556421, 0.2841, 0.7463]","[0.8171295045653466, 0.7228, 0.9047]","[0.821508105835267, 0.6879, 0.7824]"
16,"[0.8406551354660952, 0.8014, 0.7422]","[0.6957260327933428, 0.6304, 0.6568]","[0.7576854503214653, 0.5903, 0.7904]","[0.7502747195786942, 0.6848, 0.6466]","[0.6823685173248785, 0.3869, 0.8329]","[0.6186884173514862, 0.5968, 0.5792]","[0.8265459564124747, 0.7348, 0.7572]","[0.8263679073666893, 0.7078, 0.7625]","[0.8244171428571427, 0.74, 0.7554]","[0.5550053807522803, 0.4659, 0.602]","[0.8171295045653466, 0.7228, 0.9047]","[0.8261099777303661, 0.6688, 0.8154]"
17,"[0.8395283772981615, 0.7801, 0.7662]","[0.6957260327933428, 0.6304, 0.6568]","[0.758833540439786, 0.5903, 0.7982]","[0.7502850863552487, 0.6848, 0.6466]","[0.6809530860756405, 0.4526, 0.7721]","[0.6186884173514862, 0.5968, 0.5792]","[0.8266541012647797, 0.7348, 0.7572]","[0.826193903538605, 0.7143, 0.7515]","[0.8233885714285714, 0.71, 0.7657]","[0.5566388234088347, 0.3523, 0.6753]","[0.8171295045653466, 0.7228, 0.9047]","[0.8262112033388878, 0.8089, 0.7103]"
18,"[0.8396219194856881, 0.7588, 0.7698]","[0.6957260327933428, 0.6304, 0.6568]","[0.7583945648063105, 0.6506, 0.7466]","[0.7499637162820593, 0.7391, 0.5994]","[0.6799426859223385, 0.6642, 0.6169]","[0.6186884173514862, 0.5968, 0.5792]","[0.8266644007745232, 0.7348, 0.7572]","[0.8285745922773936, 0.7987, 0.6699]","[0.8224457142857142, 0.73, 0.7566]","[0.5515399200573946, 0.3296, 0.6855]","[0.8171295045653466, 0.7228, 0.9047]","[0.8262618161431486, 0.828, 0.6711]"
19,"[0.8396134156504584, 0.7588, 0.7698]","[0.6957260327933428, 0.6304, 0.6568]","[0.75973175212059, 0.6506, 0.75]","[0.7499637162820593, 0.7391, 0.5994]","[0.6785751615769211, 0.4745, 0.7625]","[0.618170543903403, 0.5484, 0.6603]","[0.8264532608247848, 0.7598, 0.7457]","[0.8295118401695747, 0.7987, 0.6784]","[0.8217371428571429, 0.72, 0.7611]","[0.5457492056984729, 0.3978, 0.6404]","[0.8171295045653466, 0.7228, 0.9047]","[0.8283914472147386, 0.8216, 0.6944]"
20,"[0.8410803272275796, 0.7659, 0.7674]","[0.6957260327933428, 0.6304, 0.6568]","[0.7591847209465666, 0.6385, 0.7567]","[0.749668263150256, 0.6884, 0.6538]","[0.6685060014284968, 0.3723, 0.8234]","[0.6217309238589749, 0.5753, 0.6223]","[0.8266592510196515, 0.7813, 0.7313]","[0.8295672050239651, 0.8181, 0.6638]","[0.8186971428571428, 0.7, 0.7646]","[0.5474531105872706, 0.4091, 0.6505]","[0.8171295045653466, 0.7228, 0.9047]","[0.8274220173485121, 0.8535, 0.6626]"
