,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Specific Learning Disorder with Impairment in Mathematics,New Diag: Borderline Intellectual Functioning
1,0.7296328247261347,0.7111271367521368,0.8003887792753549
2,0.7534234230167328,0.7390694444444446,0.8399779847622953
3,0.7738072860238352,0.748159188034188,0.8513935581407267
4,0.798508486818346,0.7536826923076922,0.8611838261671705
5,0.8109711989888047,0.7657061965811967,0.8671425032884061
6,0.810769652100638,0.7678194444444444,0.8701763354344966
7,0.8118510894426387,0.7728141025641027,0.8703924520405201
8,0.8166732574936801,0.7747478632478633,0.8751047592203488
9,0.8203173528349585,0.775190170940171,0.8768500486854917
10,0.8236169796557119,0.7756559829059829,0.8785708672850578
11,0.8269656013001082,0.7774273504273504,0.8794730863185226
12,0.8313225291922475,0.7792115384615385,0.8799310715932969
13,0.8298834717707957,0.7805598290598292,0.8819045422709646
14,0.835278078728783,0.7857264957264958,0.8819719759476587
15,0.8362315817984831,0.7869594017094016,0.8844034746066723
16,0.8365832430480318,0.7937863247863247,0.8836249338048138
17,0.8386383772721802,0.7954658119658119,0.8832757221681271
18,0.8387761225472493,0.7977371794871795,0.8811436392832128
19,0.838282442518358,0.797568376068376,0.8809455234971557
20,0.8414273203322498,0.8004871794871795,0.8812727839559951
21,0.8417791621524016,0.8009978632478634,0.881208638685321
22,0.8438660166124956,0.8035769230769232,0.8798346828609986
23,0.8445596785843265,0.8054038461538461,0.8792982883206069
24,0.8441393403153967,0.8105170940170939,0.8789609491108493
25,0.8443109124834477,0.8114465811965811,0.8792957686328773
26,0.8445166124954857,0.812405982905983,0.8790967560088147
27,0.8453244251835802,0.815534188034188,0.8789635115051505
28,0.8449910918502468,0.8169230769230771,0.8786261295888211
29,0.846013843746238,0.8186089743589744,0.8782896018039257
30,0.8455715360539303,0.8206068376068376,0.8777742616033756
31,0.8426888166606477,0.8190085470085471,0.8777742616033756
32,0.8429559106777417,0.8176581196581199,0.8777742616033756
33,0.8419789334296377,0.8178589743589744,0.8777742616033756
34,0.8428815155892622,0.8180833333333333,0.8777742616033756
35,0.842285632599013,0.8196303418803419,0.8777742616033756
36,0.841903665583243,0.8186923076923078,0.8777742616033756
37,0.8408676116528229,0.8182457264957265,0.8777742616033756
38,0.8403290297339593,0.8209444444444445,0.8777742616033756
39,0.8399063440471892,0.8207841880341882,0.8777742616033756
40,0.839564584085711,0.821982905982906,0.8777742616033756
41,0.8391364812808476,0.8217179487179486,0.8777742616033756
42,0.8387650776453593,0.8229508547008548,0.8777742616033756
43,0.8388156073191284,0.8229658119658119,0.8777067852201098
44,0.8378519321054533,0.8228675213675214,0.8777742616033756
45,0.8384959672565306,0.8238418803418804,0.8777742616033756
46,0.8375625978090767,0.8255213675213676,0.8777742616033756
47,0.8374567533405562,0.8264444444444445,0.8777742616033756
48,0.8374544962080174,0.8243589743589744,0.8777076393515435
49,0.8371302214999398,0.8250790598290598,0.8777742616033756
50,0.8362552967376912,0.8258076923076925,0.8777742616033756
